id,nom,definition,exemple,categorie
14,"L'homme de paille","Ce sophisme se produit lorsque quelqu'un déforme, dénature ou exagère la position d'un adversaire pour la rendre plus facile à attaquer. Au lieu de réfuter l'argument réel, il abat une version plus faible et fabriquée.","'Personne A : 'Je pense que nous devrions augmenter le financement des écoles publiques.' Personne B : 'Donc, vous dites que nous devrions simplement jeter de l'argent illimité dans un système défaillant et ignorer notre dette nationale ? C'est irresponsable !''","pertinence"
15,"Appel à l'émotion","Il s'agit d'une vaste catégorie de sophismes qui consiste à manipuler les émotions d'un public — telles que la peur, la pitié ou la joie — afin de gagner un argument, surtout en l'absence de preuves factuelles.","'Une publicité pour une œuvre de charité montre des photos tristes d'enfants affamés avec une musique émouvante, exhortant les téléspectateurs à faire un don.' La publicité fait principalement appel à la pitié plutôt que de présenter un cas logique.","pertinence"
16,"Appel à la peur (Argumentum ad Baculum)","Un type spécifique d'appel à l'émotion où un argumentateur tente de créer un soutien pour une idée en instillant la peur d'une alternative. Il s'appuie sur des tactiques de peur au lieu de preuves.","'Si nous n'adoptons pas ce projet de loi sur la surveillance, une attaque terroriste majeure sur notre sol est inévitable.' Cet argument utilise la peur, et non la preuve de l'efficacité du projet de loi.","pertinence"
17,"Appel à la flatterie","Ce sophisme consiste à utiliser la flatterie et les compliments pour persuader un public d'accepter une conclusion, plutôt que de fournir des preuves. L'appel s'adresse à la vanité de l'auditeur, et non à son intellect.","'Une personne de votre goût raffiné peut sûrement voir la qualité supérieure de cette œuvre d'art coûteuse.' Le compliment vise à rendre l'acheteur potentiel plus agréable.","pertinence"
18,"Appel à la pitié (Argumentum ad Misericordiam)","Ce sophisme tente de gagner le soutien d'un argument ou d'une idée en exploitant les sentiments de pitié ou de culpabilité de l'adversaire. L'appel émotionnel est utilisé comme substitut à un argument raisonné.","'Professeur, je sais que j'ai échoué à l'examen, mais j'ai eu un semestre très difficile. Si je ne réussis pas ce cours, je perdrai ma bourse. Vous devez me donner une note de passage.'","pertinence"
19,"Appel au ridicule","Ce sophisme consiste à présenter l'argument d'un adversaire comme absurde, ridicule ou humoristique, et donc indigne d'une considération sérieuse. La moquerie est utilisée à la place d'une véritable contre-argumentation.","'Vous croyez vraiment à la théorie de l'évolution ? Vous pensez donc que votre grand-père était un singe ? C'est hilarant !' Cette caricature vise à se moquer de la position plutôt qu'à s'engager avec les preuves.","pertinence"
20,"Appel à la rancune","Ce sophisme tente d'influencer un public en exploitant ses sentiments existants d'amertume, de rancune ou de ressentiment envers la partie adverse. L'argument est basé sur l'animosité plutôt que sur la logique.","'Pourquoi soutiendriez-vous une politique proposée par ce parti ? Rappelez-vous comment ils ont bloqué le projet de loi que nous voulions tous l'année dernière ? Votons contre juste pour leur rendre la pareille.'","pertinence"
21,"Pensée magique (Wishful Thinking)","Ce sophisme se produit lorsqu'une personne conclut qu'une proposition doit être vraie parce qu'elle veut qu'elle soit vraie. Le désir que quelque chose soit vrai est utilisé comme preuve de sa véracité.","'Je suis sûr que j'obtiendrai le poste car il serait parfait pour moi et j'en ai vraiment besoin.' Le désir de l'orateur n'a aucune incidence sur la décision de l'employeur.","pertinence"
22,"Appel à la nouveauté (Argumentum ad Novitatem)","Ce sophisme prétend qu'une idée ou une proposition est correcte ou supérieure uniquement parce qu'elle est nouvelle et moderne. La nouveauté n'est pas une preuve de qualité ou de vérité.","'Notre entreprise doit passer à ce nouveau logiciel de gestion. C'est la dernière version, il doit donc être beaucoup plus efficace que notre ancien système.'","pertinence"
23,"Argument de l'incrédulité","Ce sophisme affirme qu'une proposition doit être fausse parce qu'elle contredit les attentes ou les croyances personnelles, ou parce qu'elle est difficile à imaginer. L'incapacité d'une personne à comprendre quelque chose ne le rend pas faux.","'Je trouve impossible de croire que l'immensité de l'univers ait pu émerger d'un seul point lors du Big Bang. Par conséquent, la théorie doit être fausse.'","pertinence"
24,"Appel à l'ignorance (Argumentum ad Ignorantiam)","Ce sophisme affirme qu'une proposition est vraie parce qu'il n'y a aucune preuve pour la prouver fausse, ou qu'elle est fausse parce qu'il n'y a aucune preuve pour la prouver vraie. Un manque de preuves n'est pas une preuve.","'Personne n'a jamais pu prouver que les fantômes n'existent pas, il est donc raisonnable de croire qu'ils existent.' La charge de la preuve incombe à la personne qui fait l'affirmation.","pertinence"
25,"Appel à la vérité évidente","Ce sophisme consiste à présenter une affirmation comme 'évidente' ou 'manifeste' et ne nécessitant donc aucune preuve à l'appui. Cette tactique tente de clore le débat.","'Il est évident que l'augmentation des impôts sur les sociétés nuit à l'économie.' Ceci est présenté comme un fait indéniable, mais c'est une affirmation économique complexe qui nécessite des preuves.","pertinence"
26,"Appel à la pierre (Argumentum ad Lapidem)","Ce sophisme consiste à rejeter une déclaration comme absurde sans donner aucune preuve de son absurdité. C'est un refus de s'engager avec l'argument lui-même.","'La personne A expose un argument détaillé pour un changement de politique. La personne B répond simplement en disant : 'C'est la proposition la plus absurde que j'aie jamais entendue', et n'offre aucun contre-argument.'","pertinence"
27,"Sophisme de la charge de la preuve","Ce sophisme se produit lorsque quelqu'un fait une affirmation mais met la charge de la preuve sur l'autre partie pour la réfuter, plutôt que de fournir des preuves pour sa propre affirmation. Celui qui affirme doit prouver.","'J'affirme qu'une théière orbite autour du soleil entre la Terre et Mars. Puisque vous ne pouvez pas prouver qu'elle n'est pas là, vous devez accepter mon affirmation comme vraie.'","pertinence"
28,"Sophisme de composition","C'est l'erreur de supposer que ce qui est vrai d'une partie est aussi vrai du tout. Les propriétés des parties ne se transfèrent pas nécessairement aux propriétés de l'entité complète.","'Chaque joueur de cette équipe de basket-ball est une superstar. Par conséquent, l'équipe elle-même doit être la meilleure de la ligue.' Cela ignore qu'une équipe de superstars peut ne pas avoir une bonne alchimie.","pertinence"
29,"Sophisme de division","L'inverse du sophisme de composition, c'est l'erreur de supposer que ce qui est vrai du tout est aussi vrai de ses parties.","'Notre entreprise est très rentable. Par conséquent, chaque employé de notre entreprise doit être rentable.' Cela ignore que le succès est un résultat collectif.","pertinence"
30,"Sophisme de la cause unique (Simplification excessive causale)","Ce sophisme se produit lorsqu'on suppose qu'il y a une seule cause simple à un résultat alors qu'en réalité, il peut avoir été causé par un certain nombre de causes suffisantes conjointement.","'La fusillade à l'école s'est produite à cause des jeux vidéo violents.' Cela simplifie à l'extrême un événement complexe, en ignorant d'autres facteurs contributifs potentiels.","pertinence"
31,"Sophisme d'intentionnalité","C'est le biais de supposer que les résultats des actions d'une personne étaient ce qu'elle avait l'intention de faire. Il s'agit souvent d'attribuer une intention malveillante à des accidents ou à des conséquences involontaires.","'Mon collègue n'a pas répondu à mon e-mail important, il doit donc m'ignorer intentionnellement.' Cela suppose un motif malveillant, alors qu'il a peut-être simplement manqué l'e-mail.","pertinence"
32,"Exagération du conflit","Ce sophisme se produit lorsque quelqu'un exagère un désaccord mineur ou interne entre experts dans un domaine pour rejeter entièrement le consensus du domaine.","'Les scientifiques ne sont pas d'accord sur le taux exact du changement climatique, donc tout le concept de réchauffement climatique n'est probablement pas vrai.' Cela ignore le consensus écrasant sur le fait qu'il se produit.","pertinence"
33,"Sophisme ludique","C'est l'utilisation abusive de jeux et de modèles statistiques de hasard pour représenter des situations complexes du monde réel, en ignorant l'impact d'événements 'cygnes noirs' inconnus.","'D'après mes modèles financiers, le marché a 0,1 % de chances de s'effondrer, donc mes investissements sont parfaitement sûrs.' Cela traite l'économie comme un jeu de casino avec des cotes connues.","pertinence"
34,"Déplacement des poteaux de but","Ce sophisme se produit lorsque les critères de preuve ou d'acceptation d'un argument sont modifiés après que les critères initiaux ont été remplis. C'est une tactique déloyale pour éviter de concéder un point.","'Personne A : 'Prouvez que votre politique réduira les coûts.' La personne B fournit un rapport montrant des réductions de coûts. La personne A répond : 'D'accord, mais maintenant, prouvez que cela ne nuira pas au moral des employés.''","pertinence"
35,"Biais de résultat","C'est l'erreur d'évaluer la qualité d'une décision en fonction de son résultat plutôt que de la qualité du processus de prise de décision au moment où elle a été prise.","'Un chirurgien effectue parfaitement une opération à haut risque, mais le patient décède d'une complication rare. Juger le chirurgien incompétent est un biais de résultat.'","pertinence"
36,"Pente glissante","Ce sophisme affirme qu'un premier pas relativement petit conduira inévitablement à une chaîne d'événements connexes aboutissant à un effet négatif significatif, sans preuve suffisante de l'inévitabilité.","'Si nous autorisons la ville à interdire les pailles en plastique, la prochaine chose que vous saurez, c'est qu'ils interdiront tous les sacs en plastique, et finalement nous ne pourrons plus rien acheter en plastique !'","pertinence"
37,"Sophisme du tireur d'élite texan","Ce sophisme est commis lorsque les différences dans les données sont ignorées, mais que les similitudes sont soulignées. Il s'agit de sélectionner des groupes de données pour convenir à un argument.","'Une entreprise de sodas souligne que dans les cinq États où ses ventes sont les plus élevées, trois figurent également parmi les dix États les plus sains. Elle en conclut que son soda fait partie d'un mode de vie sain.'","pertinence"
38,"Appel à la probabilité","C'est un sophisme qui consiste à supposer que parce que quelque chose pourrait arriver, cela arrivera inévitablement. Cela confond la possibilité avec la certitude.","'Il y a tellement de voitures sur la route, il est inévitable que j'aie un jour un accident grave, alors autant conduire imprudemment.'","pertinence"
39,"Mauvaise direction (Inversion causale)","Ce sophisme se produit lorsque la cause et l'effet sont inversés. L'argumentateur prétend que X cause Y, alors qu'en fait c'est Y qui cause X.","'En observant que les personnes très malades sont souvent dans les hôpitaux, quelqu'un conclut que les hôpitaux rendent les gens malades. En réalité, les gens vont à l'hôpital parce qu'ils sont déjà malades.'","causal"
40,"La corrélation implique la causalité (Cum Hoc Ergo Propter Hoc)","Ce sophisme est l'erreur de conclure que parce que deux événements se produisent ensemble, l'un doit être la cause de l'autre. Il néglige la possibilité qu'un troisième facteur soit la cause des deux.","'À mesure que les ventes de glaces augmentent, le nombre d'attaques de requins augmente également. Par conséquent, acheter de la glace provoque des attaques de requins.' En réalité, le temps chaud est la cause des deux.","causal"
41,"Post Hoc Ergo Propter Hoc","Littéralement 'après cela, donc à cause de cela', ce sophisme se produit lorsqu'on suppose que parce qu'un événement en a suivi un autre, le premier événement doit avoir causé le second.","'J'ai porté mon maillot porte-bonheur et mon équipe a gagné le match. Par conséquent, mon maillot a fait gagner l'équipe.' La succession temporelle des événements n'est pas suffisante pour établir la causalité.","causal"
42,"Sophisme de régression","Ce sophisme ne tient pas compte des fluctuations naturelles et de la régression à la moyenne. Il attribue un retour à la normale à une action entreprise lorsqu'un résultat était exceptionnel.","'Un patient souffrant de douleurs dorsales extrêmes essaie un nouveau remède et se sent beaucoup mieux une semaine plus tard. Il attribue la guérison au remède, mais il est probable que la douleur extrême ait naturellement régressé vers un état moyen moins douloureux.'","causal"
43,"Sophisme de la troisième cause","Une variante du sophisme 'la corrélation implique la causalité', cette erreur se produit lorsqu'un troisième facteur non reconnu (une variable de confusion) est la cause de deux événements corrélés.","'Le nombre de cigognes dans une région est en corrélation avec le taux de natalité humain. Par conséquent, les cigognes livrent les bébés.' La troisième cause est la taille de la région ; les régions plus grandes ont plus de cigognes et plus de gens.","causal"
44,"Sophisme du joueur","La croyance erronée que si un événement aléatoire particulier se produit plus fréquemment que la normale dans le passé, il est moins susceptible de se produire à l'avenir (ou vice versa).","'À une table de roulette, après dix numéros rouges, un joueur croit qu'un numéro noir est 'dû'. En réalité, la probabilité est la même à chaque tour.'","causal"
45,"Sophisme de la main chaude","L'inverse du sophisme du joueur, c'est la croyance qu'une personne qui a connu le succès avec un événement aléatoire a une plus grande chance de succès supplémentaire.","'Un joueur de basket-ball réussit plusieurs tirs d'affilée, et les fans croient qu'il a une 'main chaude' et qu'il est plus susceptible de réussir son prochain tir. Statistiquement, chaque tir est un événement indépendant.'","causal"
46,"Biais du survivant","Une erreur logique qui consiste à se concentrer sur les personnes ou les choses qui ont 'survécu' à un processus et à négliger par inadvertance celles qui ne l'ont pas fait en raison de leur manque de visibilité.","'Analyser les bombardiers de retour pendant la Seconde Guerre mondiale pour voir où ils ont été touchés, en suggérant d'ajouter un blindage à ces zones. Le sophisme consiste à ne pas blinder les zones qui n'ont *pas* été touchées, car les avions touchés à cet endroit n'ont probablement pas survécu.'","causal"
47,"Pensée magique","La croyance que ses pensées, ses paroles ou ses actions peuvent influencer les événements dans le monde physique d'une manière non étayée par les lois de la physique.","'Un athlète croit que le port d'une paire spécifique de chaussettes 'porte-bonheur' est la raison pour laquelle il a remporté un championnat. Cela attribue un pouvoir causal à un objet sans influence réelle.'","causal"
48,"Sophisme des coûts irrécupérables (Sophisme du Concorde)","Continuer un comportement ou une entreprise en raison des ressources précédemment investies (temps, argent ou effort), que les coûts actuels l'emportent ou non sur les avantages escomptés.","'Nous avons déjà dépensé des millions pour développer ce nouveau produit. Il ne se vend pas bien, mais nous ne pouvons pas nous arrêter maintenant ; nous devons justifier l'investissement initial.'","causal"
49,"Sophisme d'association (Culpabilité par association)","Ce sophisme affirme que les qualités d'une chose sont intrinsèquement les qualités d'une autre, simplement par une association non pertinente.","'Mon adversaire politique a un jour accepté un don de campagne d'une société controversée. Par conséquent, mon adversaire doit approuver les pratiques contraires à l'éthique de cette société.'","causal"
50,"Sophisme écologique","Ce sophisme consiste à faire des inférences sur un individu sur la base de données agrégées pour le groupe auquel cet individu appartient. Les statistiques au niveau du groupe ne s'appliquent pas nécessairement aux individus.","'Une étude montre que le pays X a un score de bonheur national très élevé. Mon amie vient du pays X, elle doit donc être une personne très heureuse.'","causal"
51,"Sophisme étymologique","L'erreur de soutenir que le sens historique ou original d'un mot (son étymologie) est son seul sens correct et actuel, en ignorant l'évolution de la langue.","'Quelqu'un soutient que le mot 'terrible' (awful) devrait être un terme positif car il signifiait à l'origine 'plein de crainte' (full of awe). Cela ignore que son sens a changé au fil des siècles.'","causal"
52,"Sophisme de l'historien","Cela se produit lorsqu'on suppose que les décideurs du passé ont vu les événements de la même perspective et disposaient des mêmes informations que ceux qui ont analysé la décision par la suite.","'Les généraux de la Première Guerre mondiale auraient dû savoir que la guerre des tranchées mènerait à une impasse ; c'était évident.' Cela ignore les théories militaires contemporaines qui ont guidé leurs décisions.","causal"
53,"Sophisme de McNamara","Ce sophisme consiste à prendre une décision uniquement sur la base de mesures et de données quantitatives, tout en ignorant les facteurs qualitatifs et les informations difficiles à mesurer.","'Un district scolaire évalue ses enseignants uniquement sur la base des résultats des tests des élèves. Cela ignore d'autres facteurs cruciaux comme la capacité d'un enseignant à inspirer la créativité.'","causal"
54,"Sophisme du nirvana (Sophisme de la solution parfaite)","L'erreur de rejeter toute solution réaliste parce qu'elle ne résout pas complètement un problème. Il compare une proposition pratique à une alternative 'parfaite' irréaliste et idéalisée.","'Pourquoi devrions-nous mettre en œuvre ce nouveau programme de recyclage ? Il n'éliminera pas tous les déchets, donc ça ne vaut pas la peine.' Cela rejette une étape positive parce que ce n'est pas une solution parfaite.","causal"
55,"Sophisme de la vitre cassée","Un sophisme économique qui soutient qu'un événement destructeur est bon pour l'économie car il stimule les dépenses de réparation. Il ignore les coûts invisibles — l'argent aurait pu être dépensé pour quelque chose de nouveau.","'L'ouragan a été une bénédiction déguisée car il a créé tellement d'emplois dans la construction pour reconstruire la ville.' Cela ne tient pas compte du fait que les ressources auraient pu être utilisées pour de nouveaux progrès.","causal"
56,"Appel à la coïncidence","Ce sophisme se produit lorsqu'un argumentateur rejette des preuves solides d'un lien de causalité en affirmant que la corrélation n'est qu'une simple coïncidence, souvent sans fournir de preuves pour la coïncidence elle-même.","'Ce n'est qu'une coïncidence si, chaque fois que notre PDG vend ses actions, l'entreprise annonce de mauvaises nouvelles une semaine plus tard.' Cela rejette un schéma suspect qui indique probablement un délit d'initié.","causal"
57,"Heuristique de disponibilité (en tant que sophisme)","Un raccourci mental qui s'appuie sur des exemples immédiats qui viennent à l'esprit. Cela devient un sophisme lorsque ces exemples frappants sont utilisés pour juger de la probabilité et construire un argument.","'Après avoir vu plusieurs reportages sur des attaques de requins, une personne soutient que les plages devraient être fermées, en surestimant le risque sur la base d'événements frappants mais statistiquement rares.'","causal"
58,"Biais de confirmation (en tant que sophisme)","La tendance à construire un argument en recherchant, interprétant et se rappelant uniquement les informations qui confirment ses croyances préexistantes, tout en ignorant les preuves contradictoires.","'Une personne qui croit qu'un régime est sain ne cherchera que des témoignages et des articles qui le soutiennent, puis présentera ces informations sélectionnées comme preuve de son efficacité.'","causal"
59,"Sophisme du monde juste","Le biais cognitif selon lequel les actions d'une personne sont enclines à entraîner des conséquences moralement justes. Cela devient un sophisme lorsqu'il est utilisé pour soutenir que les victimes de malheur ont dû le mériter.","'Elle s'est fait voler parce qu'elle exhibait ses bijoux coûteux dans un mauvais quartier ; elle l'a cherché.' Cela blâme la victime pour le crime.","causal"
60,"Sophisme du projecteur","La tendance à supposer que la couverture médiatique d'un groupe est représentative de l'ensemble du groupe. C'est un sophisme de généralisation basé sur les membres les plus visibles.","'En voyant des reportages qui se concentrent exclusivement sur des manifestations violentes, une personne conclut que toutes les personnes qui soutiennent cette cause sont violentes, même si la grande majorité est pacifique.'","causal"
61,"Faux dilemme (Fausse dichotomie)","Ce sophisme présente une situation comme n'ayant que deux alternatives, alors qu'en fait d'autres alternatives existent ou peuvent exister. Il limite artificiellement les choix pour forcer une décision.","'Vous êtes soit avec nous, soit avec les terroristes.' Cela ne présente que deux options, ignorant la possibilité de neutralité ou d'opposition aux deux camps.","conditionnel"
62,"Sophisme du continuum (Sophisme du tas)","Ce sophisme rejette une affirmation parce qu'il n'est pas possible de tracer une ligne précise entre deux états. Il exploite l'ambiguïté des termes vagues.","'On ne peut pas dire avec certitude quand un amas de sable devient un tas. Par conséquent, les tas n'existent pas.' L'incapacité à définir un seuil précis n'annule pas le concept.","conditionnel"
63,"Pétition de principe (Raisonnement circulaire)","Un argument dans lequel la conclusion est supposée dans l'une des prémisses. C'est une forme de raisonnement circulaire qui ne fournit aucune preuve réelle, car il soutient essentiellement qu'une déclaration est vraie parce qu'elle est vraie.","'La Bible est la parole de Dieu parce qu'elle le dit dans la Bible, et Dieu ne mentirait pas.' La prémisse (la Bible est vraie) est aussi la conclusion.","conditionnel"
64,"Généralisation hâtive","Ce sophisme consiste à tirer une conclusion générale sur la base d'un échantillon de petite taille ou non représentatif. La conclusion est un saut qui n'est pas justifié par les preuves.","'J'ai rencontré deux personnes de New York et elles étaient toutes les deux impolies. Par conséquent, tout le monde à New York est impoli.' Cette conclusion est basée sur un échantillon anecdotique de deux personnes.","conditionnel"
65,"Aucun vrai Écossais","Une façon de réinterpréter les preuves afin d'empêcher la réfutation de sa position. Un argumentateur qui utilise ce sophisme modifie son affirmation en réponse à un contre-exemple, en excluant le cas spécifique sans justification.","'Personne A : 'Aucun Écossais ne met de sucre dans son porridge.' Personne B : 'Mais mon oncle Angus est Écossais et il met du sucre dans son porridge.' Personne A : 'Ah, mais aucun *vrai* Écossais ne met de sucre dans son porridge.''","conditionnel"
66,"Équivoque","L'utilisation trompeuse d'un terme ayant plus d'un sens ou d'une acception. Elle se produit souvent dans les syllogismes, où un terme clé change de sens.","'Le panneau indiquait 'Fine for parking here' (Bien pour se garer ici / Amende pour se garer ici), et comme c'était bien, je me suis garé là.' Cela joue sur le mot 'fine', qui peut signifier 'acceptable' ou 'une amende'.","conditionnel"
67,"Amphibologie","Un sophisme d'ambiguïté où l'ambiguïté ne réside pas dans un mot ou une phrase mais dans la structure grammaticale d'une phrase. La phrase peut être interprétée de plusieurs manières.","'L'oracle a dit à Crésus que s'il partait en guerre contre la Perse, il détruirait un puissant empire.' Crésus est parti en guerre et a détruit son propre puissant empire. La déclaration était ambiguë.","conditionnel"
68,"Cueillette de cerises (Preuves supprimées)","L'acte de pointer du doigt des cas individuels ou des données qui semblent confirmer une position particulière, tout en ignorant une partie importante des cas ou des données connexes qui peuvent contredire cette position.","'Un politicien met en évidence une seule ville où sa nouvelle politique économique a été couronnée de succès, tout en omettant délibérément de mentionner les dix autres villes où la même politique a échoué.'","conditionnel"
69,"Plaidoyer spécial","Ce sophisme se produit lorsque quelqu'un applique des normes ou des règles à d'autres personnes, tout en s'exemptant ou en exemptant ses propres circonstances des mêmes règles sans justification adéquate.","'Oui, je crois en la liberté d'expression pour tous, mais les opinions de mon adversaire sont si dangereuses qu'elles ne devraient pas être autorisées sur ce campus.' Cela crée une exception spéciale.","conditionnel"
70,"Fausse équivalence","Un argument ou une comparaison qui décrit une situation dans laquelle il existe une équivalence logique et apparente, alors qu'en fait il n'y en a aucune. Il compare souvent un méfait mineur à une atrocité majeure.","'La personne qui a téléchargé illégalement un film est aussi mauvaise que le PDG qui a détourné des millions. Ce sont tous les deux des voleurs.' Cela assimile faussement deux actions d'échelles très différentes.","conditionnel"
71,"Argument de la modération (Faux compromis)","Le sophisme selon lequel la vérité se trouve toujours au milieu de deux opposés. Bien que le compromis puisse être utile, il ne garantit pas une conclusion logiquement solide.","'Une personne dit que le ciel est bleu, et une autre dit que le ciel est jaune. Par conséquent, la vérité doit être que le ciel est vert.' C'est fallacieux car l'une des positions est factuellement correcte.","conditionnel"
72,"Réification (Hypostase)","Il s'agit d'un sophisme d'ambiguïté, où une abstraction (une croyance abstraite ou une construction hypothétique) est traitée comme s'il s'agissait d'un événement concret et réel ou d'une entité physique.","'La justice exige que nous punissions les coupables.' Ici, on parle de la 'justice' comme d'un agent concret qui peut faire des demandes, alors qu'il s'agit en fait d'un concept abstrait.","conditionnel"
73,"Sophisme du psychologue","Cela se produit lorsqu'un observateur suppose que son interprétation subjective d'un événement est la même que l'expérience subjective de la personne impliquée dans l'événement.","'Un thérapeute, voyant un client sourire en discutant d'un traumatisme, conclut : 'Il doit trouver de la joie dans sa souffrance passée.'' Le thérapeute projette une interprétation standard d'un sourire.","conditionnel"
74,"Argument du silence","Un sophisme où une conclusion est basée sur l'absence de preuves plutôt que sur leur présence. Il suppose que si une source n'a pas mentionné quelque chose, cela ne doit pas s'être produit.","'Hérodote, le grand historien, ne mentionne jamais les pyramides de Gizeh dans ses écrits sur l'Égypte. Par conséquent, elles ne devaient pas être là lorsqu'il les a visitées.'","conditionnel"
