id,name,definition,example,category
23,"Congruence Bias","The tendency to test hypotheses exclusively through direct testing, instead of testing possible alternative hypotheses.","If you believe a certain type of pen is the best, you might only test it on paper where you know it performs well, rather than trying it on different surfaces where it might fail.","too_much_information"
24,"Conjunction Fallacy","The tendency to assume that specific conditions are more probable than a single general one.","Believing it's more likely that a woman is a 'feminist bank teller' than just a 'bank teller,' even though the first category is a subset of the second.","not_enough_meaning"
25,"Conservatism Bias","The tendency to revise one's belief insufficiently when presented with new evidence.","An investor holds on to a stock that is performing poorly, believing their initial positive assessment is still valid despite mounting negative news.","too_much_information"
26,"Context Effect","Our cognition and memory are influenced by the context in which we receive information. The same stimulus can be interpreted differently depending on the surrounding cues.","A person might rate a wine as more enjoyable when served in a fancy restaurant with elegant music than if they drank the exact same wine from a plastic cup at a picnic.","too_much_information"
27,"Contrast Effect","The enhancement or diminishment of a perception, cognition or related performance as a result of successive or simultaneous exposure to a stimulus of lesser or greater value in the same dimension.","A mediocre presentation will seem much better if it follows a terrible one, and much worse if it follows an excellent one.","too_much_information"
28,"Courtesy Bias","The tendency to give an opinion that is more socially correct than one's true opinion, so as to avoid offending anyone.","Telling a friend you love their new haircut, even if you secretly think it's unflattering.","need_to_act_fast"
29,"Cryptomnesia","A memory bias whereby a person may falsely recall generating a thought, idea, song, or joke, not deliberately engaging in plagiarism but rather experiencing a memory as if it were a new inspiration.","A musician might compose a melody that they believe is original, only to discover later that it is very similar to a song they heard years ago.","what_to_remember"
30,"Cue-Dependent Forgetting","The inability to recall information without the specific cues that were present when the memory was formed.","You walk into a room to get something, but forget what it was. When you return to your original room, the context jogs your memory and you remember.","too_much_information"
31,"Curse of Knowledge","When better-informed people find it extremely difficult to think about problems from the perspective of lesser-informed people.","An expert engineer using technical jargon when explaining a concept to a beginner, assuming they have the same background knowledge.","not_enough_meaning"
32,"Declinism","The belief that a society or institution is tending towards decline. Predominantly, it is the tendency to view the past in a more favorable light and the future in a more negative light.","Insisting that music and movies were 'so much better' in the past and that contemporary culture is a sign of societal decay.","what_to_remember"
33,"Decoy Effect","The phenomenon whereby consumers will tend to have a specific change in preference between two options when also presented with a third option that is asymmetrically dominated.","A movie theater offers a small popcorn for $3 and a large for $7. Most people buy the small. When a medium option is introduced for $6.50, most people now buy the large because it seems like a much better deal.","need_to_act_fast"
34,"Default Effect","When given a choice between several options, the tendency to favor the default one.","Most people stick with the default settings on their phone, even if customizing them would be beneficial.","need_to_act_fast"
35,"Denomination Effect","The tendency to spend more money when it is denominated in small amounts rather than large amounts.","You are more likely to spend four $5 bills than a single $20 bill.","need_to_act_fast"
36,"Disposition Effect","The tendency to sell assets that have increased in value, while keeping assets that have dropped in value.","An investor sells a stock that has made a 20% gain to 'lock in profits' but holds onto a stock that has lost 30%, hoping it will 'come back.'","need_to_act_fast"
37,"Distinction Bias","The tendency to view two options as more dissimilar when evaluating them simultaneously than when evaluating them separately.","When choosing between two TVs in a store, you might focus on tiny, insignificant differences in specs. At home, you would likely not notice any difference between them.","too_much_information"
38,"Dunning–Kruger Effect","The tendency for unskilled individuals to overestimate their own ability and the tendency for experts to underestimate their own ability.","A person who has just started learning a new language might believe they are nearly fluent, while a true expert is acutely aware of their own limitations.","need_to_act_fast"
39,"Duration Neglect","The neglect of the duration of an event in determining its value.","Remembering a long, pleasant vacation based on its peak moments and how it ended, rather than its overall length.","what_to_remember"
40,"Egocentric Bias","The tendency to rely too heavily on one's own perspective and/or have a higher opinion of oneself than reality.","Overestimating how much your friends agree with your political opinions, or taking more credit for a group project's success than is objectively warranted.","what_to_remember"
41,"Empathy Gap","We underestimate the influence of visceral drives on our own attitudes, preferences, and behaviors. It's hard to imagine how we would feel in a different emotional or physiological state.","When you are not hungry, it's easy to decide you will eat a healthy salad for dinner. When dinner time arrives and you are ravenous, your craving for a greasy burger is much stronger than you anticipated.","too_much_information"
42,"Endowment Effect","The tendency for people to demand much more to give up an object than they would be willing to pay to acquire it.","Valuing a simple coffee mug you received for free at $10, but being unwilling to pay more than $3 for the exact same mug in a store.","need_to_act_fast"
43,"Essentialism","The belief that things have a set of characteristics which make them what they are, and that the task of science and philosophy is their discovery and expression.","The belief that there is an 'essence' of being male or female that is fixed and cannot be changed.","not_enough_meaning"
44,"Exaggerated Expectation","The tendency to believe that a future event will be more extreme than it actually turns out to be.","Believing that winning the lottery will solve all of life's problems and bring eternal happiness.","not_enough_meaning"
45,"Experimenter's Bias (Observer-Expectancy Effect)","A form of reactivity in which a researcher's cognitive bias causes them to subconsciously influence the participants of an experiment.","A teacher who expects a student to perform well may unintentionally give them more encouragement and better feedback, leading to better performance.","too_much_information"
46,"Extrinsic Incentives Bias","The tendency to attribute other people's motivations more to extrinsic factors (like job rewards) and our own motivations more to intrinsic factors (like learning and enjoyment).","Believing your colleague only works hard for the paycheck, while you believe you work hard because you are passionate about the job.","not_enough_meaning"
47,"False Consensus Effect","The tendency for people to overestimate the degree to which others agree with them.","Being shocked to find out that a political candidate you support has lost the election, because it felt like 'everyone' you knew was voting for them.","not_enough_meaning"
48,"False Memory","A psychological phenomenon where a person recalls something that did not happen or recalls it differently from the way it actually happened.","Many people have a false memory of seeing Bugs Bunny at Disneyland, even though Bugs Bunny is a Warner Bros. character.","what_to_remember"
49,"Focusing Effect","The tendency to place too much importance on one aspect of an event, causing an error in accurately predicting the utility of a future outcome.","People often believe that living in California would make them much happier, focusing on the good weather while ignoring other factors like traffic and cost of living.","too_much_information"
50,"Forer Effect (Barnum Effect)","The observation that individuals will give high accuracy ratings to descriptions of their personality that supposedly are tailored specifically for them, but are in fact vague and general enough to apply to a wide range of people.","People readily believe in vague horoscope predictions because they can easily find examples from their own lives that seem to confirm the statements.","not_enough_meaning"
51,"Framing Effect","Drawing different conclusions from the same information, depending on how that information is presented.","A product advertised as '90% fat-free' is more appealing than one described as '10% fat,' even though they are the same.","need_to_act_fast"
52,"Frequency Illusion (Baader-Meinhof Phenomenon)","After noticing something for the first time, there is a tendency to notice it more often, leading one to believe that it has an increased frequency of occurrence.","You learn a new word, and then you suddenly seem to see or hear that word everywhere.","too_much_information"
53,"Functional Fixedness","A cognitive bias that limits a person to using an object only in the way it is traditionally used.","Needing a hammer but not realizing you could use a heavy wrench to drive in a nail.","not_enough_meaning"
54,"Fundamental Attribution Error","The tendency for people to under-emphasize situational explanations for an individual's observed behavior while over-emphasizing dispositional and personality-based explanations.","Assuming a person who cuts you off in traffic is a selfish jerk, rather than considering they might be in an emergency.","not_enough_meaning"
55,"Gambler's Fallacy","The tendency to think that future probabilities are altered by past events, when in reality they are unchanged.","After a coin toss has landed on heads five times in a row, a person might believe that the next toss is 'due' to be tails.","not_enough_meaning"
56,"Google Effect (Digital Amnesia)","The tendency to forget information that can be found readily online by using Internet search engines.","You are less likely to remember a specific fact, like an actor's birthday, because you know you can easily look it up on your phone.","what_to_remember"
57,"Group Attribution Error","The tendency to believe that the characteristics of an individual group member are reflective of the group as a whole.","After a negative interaction with a single tourist from a particular country, concluding that everyone from that country is rude.","not_enough_meaning"
58,"Groupthink","The psychological phenomenon that occurs within a group of people in which the desire for harmony or conformity in the group results in an irrational or dysfunctional decision-making outcome.","In a business meeting, all the senior managers agree on a risky plan. Junior members are hesitant to speak out against it for fear of disrupting the harmony and being seen as not part of the team.","need_to_act_fast"
59,"Halo Effect","The tendency for a person's positive or negative traits to 'spill over' from one area of their personality to another in others' perceptions of them.","Assuming a physically attractive person is also intelligent, kind, and funny.","not_enough_meaning"
60,"Hard–Easy Effect","The tendency to overestimate one's ability to perform a difficult task and to underestimate one's ability to perform an easy task.","A student might be overconfident about their ability to write a complex research paper but underconfident about their ability to pass a simple multiple-choice quiz.","need_to_act_fast"
61,"Hindsight Bias","The tendency to see past events as being predictable at the time those events happened.","After a stock market crash, people might say they 'knew it was coming all along,' even if they didn't.","what_to_remember"
62,"Hostile Attribution Bias","The tendency to interpret others' behaviors as having hostile intent, even when the behavior is ambiguous or benign.","If someone bumps into you in a crowded room, you immediately assume they did it on purpose to be aggressive.","not_enough_meaning"
63,"Hot-Hand Fallacy","The belief that a person who has experienced success with a random event has a greater chance of further success in additional attempts.","A basketball player who has made their last few shots is believed to have a 'hot hand' and is more likely to make their next shot.","not_enough_meaning"
64,"Humor Effect","Humorous items are more easily remembered than non-humorous ones.","You are more likely to remember the details of a funny commercial than a serious one, even for a similar product.","too_much_information"
65,"Hyperbolic Discounting","The tendency for people to increasingly choose a smaller-sooner reward over a larger-later reward as the delay occurs sooner rather than later in time.","Preferring to receive $50 today rather than $100 in six months, even though the latter is a better financial choice.","need_to_act_fast"
66,"IKEA Effect","The tendency for people to place a disproportionately high value on products they partially created.","Feeling that the bookshelf you struggled to assemble yourself is more valuable than an identical, pre-assembled one from the store.","need_to_act_fast"
67,"Illusion of Control","The tendency to overestimate one's ability to control events.","People often believe they can influence the outcome of a dice roll by throwing it harder for a high number and softer for a low number.","not_enough_meaning"
68,"Illusion of Explanatory Depth","The illusion that you understand a topic in far greater detail than you actually do.","Confidently believing you know how a zipper works, but being unable to explain the mechanism when asked.","not_enough_meaning"
69,"Illusion of Transparency","The tendency for people to overestimate the degree to which their personal mental state is known by others.","Believing that your nervousness is obvious to the audience when you are giving a presentation, even though they don't notice it.","not_enough_meaning"
70,"Illusion of Validity","We overestimate our ability to interpret and predict accurately the outcome when analyzing a set of data, in particular when the data analyzed show a very consistent pattern.","A job interviewer might feel confident in their ability to pick the best candidate based on a short interview, despite studies showing that unstructured interviews are poor predictors of job performance.","not_enough_meaning"
71,"Illusory Correlation","The phenomenon of perceiving a relationship between variables even when no such relationship exists.","Believing that it always rains after you wash your car.","not_enough_meaning"
72,"Illusory Superiority (Lake Wobegon Effect)","The human tendency to overestimate one's achievements and capabilities in relation to others.","In a survey, 90% of drivers might rate their own driving skills as 'above average'.","need_to_act_fast"
73,"Illusory Truth Effect","We are more likely to believe information we have been exposed to repeatedly, regardless of whether it is true or not.","A political lie, if repeated frequently by news outlets and politicians, can become accepted as truth by a segment of the population.","too_much_information"
74,"Impact Bias","The tendency to overestimate the length or the intensity of future feeling states.","Believing that breaking up with a partner will leave you devastated for years, when in reality the emotional pain subsides much more quickly.","need_to_act_fast"
75,"Information Bias","The tendency to seek information when it does not affect action.","Continuing to research different car models even after you've already made a decision and purchased one.","too_much_information"
76,"Ingroup Bias","The tendency for people to give preferential treatment to others they perceive to be members of their own groups.","Hiring a candidate from your own alma mater over a more qualified candidate from another school.","not_enough_meaning"
77,"Insensitivity to Sample Size","The tendency to under-expect variation in small samples. We often draw conclusions from small amounts of data without considering the role of chance.","A hospital reports that on a particular day, 60% of the babies born were boys. People are more surprised by this if the hospital is large (many births) than if it is small (few births), even though small samples are more likely to show extreme results.","not_enough_meaning"
78,"Irrational Escalation (Sunk Cost Fallacy)","The phenomenon where people justify increased investment in a decision, based on the cumulative prior investment, despite new evidence suggesting that the decision was probably wrong.","Continuing to pour money into a failing business project because 'we've already invested too much to stop now.'","need_to_act_fast"
79,"Just-World Hypothesis","The tendency to believe that the world is just and that people get what they deserve.","Blaming the victim of a crime or accident by assuming they must have done something to deserve their fate.","not_enough_meaning"
80,"Law of the Instrument (Maslow's Hammer)","An over-reliance on a familiar tool; if all you have is a hammer, everything looks like a nail.","A person who is very good with spreadsheets might try to solve every business problem with a spreadsheet, even when other tools would be more appropriate.","not_enough_meaning"
81,"Less-is-better Effect","A cognitive bias that causes people to prefer a smaller set of items over a larger set, even if the larger set contains all the items in the smaller set plus more.","Preferring to receive a high-end scarf as a gift over a gift set that includes the same scarf plus a less desirable, cheaper item.","need_to_act_fast"
82,"Levelling and Sharpening","Two opposing memory distortions that occur over time. Levelling is the loss of details, while sharpening is the emphasis of certain details.","In retelling a story, a person might forget minor details (levelling) but exaggerate the most exciting part (sharpening).","what_to_remember"
83,"Looking-glass Self","A social psychological concept stating that a person's self grows out of society's interpersonal interactions and the perceptions of others.","If people consistently treat you as a leader, you may begin to see yourself as one and act accordingly.","not_enough_meaning"
84,"Loss Aversion","The tendency to prefer avoiding losses to acquiring equivalent gains. It's better to not lose $5 than to find $5.","Feeling more pain from losing $100 than pleasure from winning $100.","need_to_act_fast"
85,"Mere Exposure Effect","We tend to develop a preference for things simply because we are familiar with them.","You might dislike a new song the first time you hear it, but after hearing it on the radio several times, you start to enjoy it.","too_much_information"
86,"Misinformation Effect","Memory becoming less accurate because of post-event information.","A witness who is asked 'How fast were the cars going when they smashed into each other?' might later remember the cars going faster than they actually were.","what_to_remember"
87,"Moral Credential Effect","The tendency of a track record of non-prejudice to increase subsequent prejudice. A person who has engaged in a moral act may feel they have a 'license' to engage in an immoral one.","After donating to a charity, a person might feel justified in being rude to a service worker later that day.","not_enough_meaning"
88,"Moral Luck","The phenomenon whereby a moral agent is assigned moral blame or praise for an action or its consequences even if it is clear that said agent did not have full control over either the action or its consequences.","A drunk driver who gets home safely is judged less harshly than one who hits a pedestrian, even though their decision to drive drunk was equally reckless.","not_enough_meaning"
89,"Naïve Cynicism","The cognitive bias that occurs when people expect more egocentric bias in others than is actually the case.","Believing that a person who performs a kind act must have a selfish ulterior motive.","not_enough_meaning"
90,"Naïve Realism","The human tendency to believe that we see the world around us objectively, and that people who disagree with us must be uninformed, irrational, or biased.","Believing that your political opinions are based on pure facts and logic, and that anyone who disagrees is simply misinformed.","not_enough_meaning"
91,"Negativity Bias","Negative events and emotions have a greater impact on our psychological state and processes than neutral or positive ones.","You receive ten positive comments and one negative comment on a presentation. You will likely dwell on the single piece of negative feedback.","too_much_information"
92,"Neglect of Probability","The tendency to completely disregard probability when making a decision under uncertainty.","Choosing to drive instead of fly because of a fear of plane crashes, despite the statistical probability of a car crash being vastly higher.","not_enough_meaning"
93,"Normalcy Bias","The refusal to plan for, or react to, a disaster which has never happened before.","Residents of a coastal town ignoring hurricane evacuation warnings because they've 'never had a bad storm here before.'","need_to_act_fast"
94,"Not Invented Here","Aversion to contact with or use of products, research, standards, or knowledge developed outside a group.","A company's engineering team insisting on building a new software tool from scratch, even though a perfectly good and cheaper third-party tool already exists.","not_enough_meaning"
95,"Omission Bias","The tendency to judge harmful actions as worse, or less moral, than equally harmful omissions (inactions).","A person who lets a patient die by not administering a life-saving drug is often judged less harshly than a person who administers a lethal drug, even if the outcome is the same.","too_much_information"
96,"Optimism Bias","The tendency to be overly optimistic, overestimating favorable and pleasing outcomes.","A person might believe they are less likely to experience a negative event, like a car accident or a serious illness, than other people.","need_to_act_fast"
97,"Ostrich Effect","The decision to ignore dangerous or negative information by 'burying' one's head in the sand, like an ostrich.","An investor avoiding checking their portfolio during a market downturn, hoping the problem will go away on its own.","too_much_information"
98,"Outgroup Homogeneity Bias","The perception of out-group members as more similar to one another than are in-group members.","Believing that 'all fans of that rival sports team are the same,' while seeing great diversity among fans of your own team.","not_enough_meaning"
99,"Overconfidence Effect","The tendency for a person's subjective confidence in their judgments to be reliably greater than their objective accuracy.","A student who is certain they aced an exam is surprised to find they only received a mediocre grade.","need_to_act_fast"
100,"Pareidolia","A type of apophenia, it is the tendency to perceive a specific, often meaningful image in a random or ambiguous visual pattern.","Seeing the 'Man in the Moon' or a face in a piece of toast.","not_enough_meaning"
101,"Parkinson's Law of Triviality","The tendency to give disproportionate weight to trivial issues.","A committee might spend 45 minutes debating the color of the bike shed and only 15 minutes on a multi-million dollar nuclear reactor proposal.","too_much_information"
102,"Peak–End Rule","That people judge an experience largely based on how they felt at its peak and at its end, rather than based on the total sum or average of every moment.","A vacation might be remembered as great if it had a fantastic final day, even if most of the trip was mediocre.","what_to_remember"
103,"Pessimism Bias","The tendency for some people, especially those suffering from depression, to overestimate the likelihood of negative things happening to them.","A person might believe they are certain to fail an exam, even if they have studied thoroughly and are well-prepared.","need_to_act_fast"
104,"Picture Superiority Effect","We remember concepts and ideas better when they are presented as pictures rather than as text.","IKEA instructions are effective because they rely on simple diagrams rather than complex text descriptions.","too_much_information"
105,"Placebo Effect","The tendency for a person's physical or mental health to appear to improve after taking a placebo or inert treatment.","A patient's headache disappears after taking a sugar pill that they believe is a powerful painkiller.","not_enough_meaning"
106,"Planning Fallacy","The tendency to underestimate the time, costs, and risks of future actions, while simultaneously overestimating the benefits.","Confidently predicting a home renovation will take two weeks and cost $5,000, only for it to take two months and cost $10,000.","need_to_act_fast"
107,"Post-Purchase Rationalization (Buyer's Stockholm Syndrome)","The tendency to persuade oneself through rational argument that a purchase was a good value.","After buying an expensive smartphone, you focus on its positive features and ignore its flaws to convince yourself you made the right decision.","too_much_information"
108,"Pro-innovation Bias","The tendency to have an excessive optimism towards an invention or innovation's usefulness and to downplay its limitations and weaknesses.","Believing that a new technology will solve all of a company's problems, without considering the costs of implementation, training, and potential downsides.","need_to_act_fast"
109,"Projection Bias","The tendency to unconsciously assume that others share the same or similar thoughts, beliefs, values, or positions.","Assuming your friends will love the same spicy food you do, and ordering it for the whole table without asking.","not_enough_meaning"
110,"Pseudocertainty Effect","The tendency to make risk-averse choices if the expected outcome is positive, but make risk-seeking choices to avoid negative outcomes.","Choosing a 'guaranteed' 10% discount over a '50% chance' of a 20% discount, even though they have the same expected value.","need_to_act_fast"
111,"Reactance","The urge to do the opposite of what someone wants you to do out of a need to resist a perceived attempt to constrain your freedom of choice.","A teenager might start smoking specifically because their parents have forbidden it.","need_to_act_fast"
112,"Reactive Devaluation","Devaluing a proposal or offer simply because it is perceived to have originated from an adversary.","Automatically rejecting a political policy proposal simply because it came from the opposing party, without considering its merits.","not_enough_meaning"
113,"Recency Bias","The tendency to weigh recent information or events more heavily than earlier information.","A manager giving an employee a performance review based heavily on their work in the last month, ignoring their performance over the entire year.","too_much_information"
114,"Reciprocity","The social norm of responding to a positive action with another positive action, and a negative action with another negative one.","Feeling obligated to buy a product from a salesperson who gave you a free sample.","need_to_act_fast"
115,"Restraint Bias","The tendency to overestimate one's ability to show restraint in the face of temptation.","Buying a large bag of chips and believing you'll only eat a small handful, but ending up finishing the whole bag.","need_to_act_fast"
116,"Rhyme as Reason Effect","The tendency to perceive rhyming statements as more truthful.","Believing the saying 'An apple a day keeps the doctor away' more readily because it rhymes.","not_enough_meaning"
117,"Risk Compensation (Peltzman Effect)","The tendency to take greater risks when perceived safety increases.","Driving faster and more aggressively in a car with advanced safety features like anti-lock brakes and airbags.","need_to_act_fast"
118,"Rosy Retrospection","The tendency to rate past events more positively than they had actually rated them when the event occurred.","Remembering a difficult camping trip from your childhood as a fun adventure, while forgetting the rain, mosquitoes, and uncomfortable nights.","what_to_remember"
119,"Salience Bias","The tendency to focus on the most easily recognizable features of a person or concept.","When thinking about dying, you might worry more about a dramatic shark attack than the more probable, but less salient, risk of heart disease.","too_much_information"
120,"Selective Perception","The tendency for expectations to affect perception. We see what we expect to see.","Fans of a sports team are more likely to see fouls committed by the opposing team and miss fouls committed by their own.","too_much_information"
121,"Self-Deception","A process of denying or rationalizing away the significance, relevance, or importance of opposing evidence and logical argument.","A smoker who continues to smoke despite knowing the health risks, telling themselves 'the statistics don't apply to me.'","not_enough_meaning"
122,"Self-Relevance Effect","We remember information better when we can relate it to ourselves in some way.","You are more likely to remember someone's birthday if it is close to your own.","too_much_information"
123,"Self-Serving Bias","The tendency to attribute success to our own abilities and efforts, but attribute failure to external factors.","Getting an 'A' on a test and saying 'I'm smart,' but getting an 'F' and saying 'the teacher was unfair.'","not_enough_meaning"
124,"Shared Information Bias","The tendency for group members to spend more time and energy discussing information that all members are already familiar with.","In a meeting to decide on a new hire, the team spends most of the time discussing the candidate's university, which everyone knows, rather than their unique job experiences.","too_much_information"
125,"Social Comparison Bias","The tendency, when making decisions, to favour potential candidates who don't compete with one's own particular strengths.","A manager might be hesitant to hire a candidate who is more skilled in a particular area than they are.","not_enough_meaning"
126,"Social Desirability Bias","The tendency of survey respondents to answer questions in a manner that will be viewed favorably by others.","In a survey, more people might claim to vote or donate to charity than actually do, because those are socially desirable actions.","need_to_act_fast"
127,"Source Amnesia","The inability to remember where, when, or how one has learned knowledge that has been acquired and retained.","Remembering a fact but being unable to recall if you read it in a textbook, heard it on the news, or were told by a friend.","what_to_remember"
128,"Spacing Effect","The phenomenon whereby learning is greater when studying is spread out over time, as opposed to studying the same amount of time in a single session.","Studying a subject for one hour every day for a week is more effective for long-term retention than cramming for seven hours in one night.","what_to_remember"
129,"Spotlight Effect","The tendency to overestimate how much other people notice your appearance or behavior.","Feeling extremely self-conscious about a small stain on your shirt, assuming everyone is staring at it, when in reality no one has noticed.","not_enough_meaning"
130,"Status Quo Bias","The tendency to like things to stay relatively the same.","Preferring to keep a long-held, underperforming investment rather than switching to a new one with better prospects.","need_to_act_fast"
131,"Stereotyping","Expecting a group or person to have certain qualities without having real information about the person.","Assuming all librarians are quiet and shy, or that all construction workers are strong and tough.","not_enough_meaning"
132,"Subadditivity Effect","The tendency to judge probability of the whole to be less than the probabilities of the parts.","Estimating the probability of a team winning a championship as lower than the sum of the probabilities you would assign to them winning each individual playoff game.","not_enough_meaning"
133,"Subjective Validation","The tendency to accept a statement or piece of information as correct if it has any personal meaning or significance to us.","People readily believe in vague horoscope predictions because they can easily find examples from their own lives that seem to confirm the statements.","too_much_information"
134,"Suggestibility","The quality of being inclined to accept and act on the suggestions of others.","Leading questions from an interrogator can cause a witness to incorporate false details into their memory of an event.","what_to_remember"
135,"Survivorship Bias","Concentrating on the people or things that 'survived' some process and inadvertently overlooking those that did not because of their lack of visibility.","Studying the habits of successful college dropouts like Bill Gates and Mark Zuckerberg, and concluding that dropping out of college leads to success, while ignoring the vast majority of dropouts who did not succeed.","not_enough_meaning"
136,"System Justification","The tendency to defend and bolster the status quo. Existing social, economic, and political arrangements tend to be preferred, and alternatives disparaged sometimes even at the expense of individual and collective self-interest.","People in lower socioeconomic classes might defend a system that is economically disadvantageous to them because it is the system they are familiar with.","need_to_act_fast"
137,"Telescoping Effect","The tendency to displace recent events backward in time and remote events forward in time, so that recent events appear more remote, and remote events, more recent.","You might think an event that happened two years ago occurred only one year ago (forward telescoping), or that an event from last month happened three months ago (backward telescoping).","what_to_remember"
138,"Testing Effect","The finding that long-term memory is often increased when some of the learning period is devoted to retrieving the to-be-remembered information.","Actively quizzing yourself on material is a more effective way to study than simply re-reading it.","what_to_remember"
139,"Third-Person Effect","The hypothesis that people tend to perceive that mass media messages have a greater effect on others than on themselves.","Believing that violent video games make other people more aggressive, but that you are personally immune to their effects.","not_enough_meaning"
140,"Time-Saving Bias","The tendency to misestimate the time that could be saved (or lost) when increasing or decreasing speed.","Believing that increasing your speed from 60 mph to 80 mph will save more time on a short trip than it actually does.","need_to_act_fast"
141,"Trait Ascription Bias","The tendency for people to view themselves as relatively variable in terms of personality, behavior, and mood while viewing others as much more predictable.","Seeing your own actions as being dependent on the situation, but seeing a colleague's actions as a reflection of their fixed personality.","not_enough_meaning"
142,"Ultimate Attribution Error","A group-level attribution error that offers an explanation for how one person views different causes of negative and positive behavior in ingroup and outgroup members.","If a member of our own group does something good, we see it as a reflection of their character. If a member of an outgroup does something good, we see it as a result of luck or circumstance.","not_enough_meaning"
143,"Unit Bias","The tendency to want to finish a given unit of a task or item. Strong effect on the consumption of food in particular.","Feeling compelled to eat the entire sandwich on your plate, even if you are already full.","need_to_act_fast"
144,"Von Restorff Effect","An item that stands out is more likely to be remembered than other items. Also known as the isolation effect.","In the list: apple, banana, car, orange, grape; the word 'car' is more likely to be remembered because it is distinct from the others.","too_much_information"
