id,name,definition,beispiel,kategorie
14,"Strohmann-Argument","Dieser Trugschluss tritt auf, wenn jemand die Position eines Gegners verzerrt, falsch darstellt oder übertreibt, um sie leichter angreifen zu können. Anstatt das tatsächliche Argument zu widerlegen, schlagen sie eine schwächere, hergestellte Version nieder.","'Person A: 'Ich denke, wir sollten die Mittel für öffentliche Schulen erhöhen.' Person B: 'Also sagen Sie, wir sollten einfach unbegrenzt Geld in ein kaputtes System werfen und unsere Staatsschulden ignorieren? Das ist unverantwortlich!''","relevanz"
15,"Appell an die Emotion","Dies ist eine breite Kategorie von Trugschlüssen, die die Manipulation der Emotionen eines Publikums – wie Angst, Mitleid oder Freude – beinhaltet, um ein Argument zu gewinnen, insbesondere in Abwesenheit von sachlichen Beweisen.","'Ein Werbespot für eine Wohltätigkeitsorganisation zeigt traurige Bilder von hungernden Kindern mit bewegender Musik und fordert die Zuschauer zum Spenden auf.' Die Anzeige appelliert hauptsächlich an das Mitleid, anstatt einen logischen Fall zu präsentieren.","relevanz"
16,"Appell an die Angst (Argumentum ad Baculum)","Eine spezifische Art des Appells an die Emotion, bei der ein Argumentierender versucht, Unterstützung für eine Idee zu schaffen, indem er Angst vor einer Alternative schürt. Er verlässt sich auf Panikmache anstelle von Beweisen.","'Wenn wir dieses Überwachungsgesetz nicht verabschieden, ist ein großer Terroranschlag auf unserem Boden unvermeidlich.' Dieses Argument nutzt die Angst, nicht den Beweis für die Wirksamkeit des Gesetzes.","relevanz"
17,"Appell an die Schmeichelei","Dieser Trugschluss beinhaltet die Verwendung von Schmeicheleien und Komplimenten, um ein Publikum davon zu überzeugen, eine Schlussfolgerung zu akzeptieren, anstatt Beweise zu liefern. Der Appell richtet sich an die Eitelkeit des Zuhörers, nicht an seinen Intellekt.","'Eine Person Ihres erlesenen Geschmacks kann sicherlich die überlegene Qualität dieses teuren Kunstwerks erkennen.' Das Kompliment soll den potenziellen Käufer entgegenkommender machen.","relevanz"
18,"Appell an das Mitleid (Argumentum ad Misericordiam)","Dieser Trugschluss versucht, Unterstützung für ein Argument oder eine Idee zu gewinnen, indem er die Mitleids- oder Schuldgefühle des Gegners ausnutzt. Der emotionale Appell wird als Ersatz für ein begründetes Argument verwendet.","'Professor, ich weiß, dass ich die Prüfung nicht bestanden habe, aber ich hatte ein wirklich hartes Semester. Wenn ich diesen Kurs nicht bestehe, verliere ich mein Stipendium. Sie müssen mir eine bestandene Note geben.'","relevanz"
19,"Appell an den Spott","Dieser Trugschluss besteht darin, das Argument eines Gegners als absurd, lächerlich oder humorvoll darzustellen und daher keiner ernsthaften Betrachtung wert. Spott wird anstelle einer tatsächlichen Gegenargumentation verwendet.","'Sie glauben tatsächlich an die Evolutionstheorie? Sie denken also, Ihr Großvater war ein Affe? Das ist urkomisch!' Diese Karikatur soll die Position verspotten, anstatt sich mit den Beweisen auseinanderzusetzen.","relevanz"
20,"Appell an den Groll","Dieser Trugschluss versucht, ein Publikum zu beeinflussen, indem er seine bestehenden Gefühle von Bitterkeit, Groll oder Ressentiments gegenüber der Gegenseite ausnutzt. Das Argument basiert auf Feindseligkeit statt auf Logik.","'Warum sollten Sie eine von dieser Partei vorgeschlagene Politik unterstützen? Erinnern Sie sich, wie sie letztes Jahr das Gesetz blockiert haben, das wir alle wollten? Stimmen wir dagegen, nur um es ihnen heimzuzahlen.'","relevanz"
21,"Wunschdenken","Dieser Trugschluss tritt auf, wenn eine Person zu dem Schluss kommt, dass ein Vorschlag wahr sein muss, weil sie es sich wünscht. Der Wunsch, dass etwas wahr ist, wird als Beweis für seine Wahrhaftigkeit verwendet.","'Ich bin sicher, dass ich den Job bekomme, weil er perfekt für mich wäre und ich ihn wirklich brauche.' Der Wunsch des Sprechers hat keinen Einfluss auf die Entscheidung des Arbeitgebers.","relevanz"
22,"Appell an die Neuheit (Argumentum ad Novitatem)","Dieser Trugschluss behauptet, dass eine Idee oder ein Vorschlag richtig oder überlegen ist, nur weil er neu und modern ist. Neuheit ist kein Beweis für Qualität oder Wahrheit.","'Unser Unternehmen muss auf diese neue Management-Software umsteigen. Es ist die neueste Version, also muss sie viel effizienter sein als unser altes System.'","relevanz"
23,"Argument aus der Ungläubigkeit","Dieser Trugschluss behauptet, dass ein Vorschlag falsch sein muss, weil er den persönlichen Erwartungen oder Überzeugungen widerspricht oder weil er schwer vorstellbar ist. Die Unfähigkeit einer Person, etwas zu verstehen, macht es nicht unwahr.","'Ich finde es unmöglich zu glauben, dass die Weite des Universums aus einem einzigen Punkt im Urknall entstanden sein könnte. Daher muss die Theorie falsch sein.'","relevanz"
24,"Appell an die Unwissenheit (Argumentum ad Ignorantiam)","Dieser Trugschluss behauptet, dass ein Vorschlag wahr ist, weil es keine Beweise gibt, um ihn als falsch zu beweisen, oder dass er falsch ist, weil es keine Beweise gibt, um ihn als wahr zu beweisen. Ein Mangel an Beweisen ist kein Beweis.","'Niemand konnte jemals beweisen, dass es keine Geister gibt, also ist es vernünftig zu glauben, dass es sie gibt.' Die Beweislast liegt bei der Person, die die Behauptung aufstellt.","relevanz"
25,"Appell an die selbstverständliche Wahrheit","Dieser Trugschluss besteht darin, eine Behauptung als 'selbstverständlich' oder 'offensichtlich' darzustellen und daher keine unterstützenden Beweise zu benötigen. Diese Taktik versucht, die Debatte zu beenden.","'Es ist selbstverständlich, dass die Erhöhung der Unternehmenssteuern der Wirtschaft schadet.' Dies wird als unbestreitbare Tatsache dargestellt, ist aber eine komplexe wirtschaftliche Behauptung, die Beweise erfordert.","relevanz"
26,"Appell an den Stein (Argumentum ad Lapidem)","Dieser Trugschluss besteht darin, eine Aussage als absurd abzutun, ohne einen Beweis für ihre Absurdität zu liefern. Es ist eine Weigerung, sich mit dem Argument selbst auseinanderzusetzen.","'Person A legt ein detailliertes Argument für eine politische Änderung vor. Person B antwortet einfach: 'Das ist der absurdeste Vorschlag, den ich je gehört habe', und bietet kein Gegenargument.'","relevanz"
27,"Beweislast-Trugschluss","Dieser Trugschluss tritt auf, wenn jemand eine Behauptung aufstellt, aber die Beweislast auf die andere Partei legt, um sie zu widerlegen, anstatt Beweise für seine eigene Behauptung zu liefern. Wer behauptet, muss beweisen.","'Ich behaupte, dass eine Teekanne zwischen Erde und Mars um die Sonne kreist. Da Sie nicht beweisen können, dass sie nicht da ist, müssen Sie meine Behauptung als wahr akzeptieren.'","relevanz"
28,"Trugschluss der Zusammensetzung","Dies ist der Fehler anzunehmen, dass das, was für einen Teil wahr ist, auch für das Ganze wahr ist. Die Eigenschaften der Teile übertragen sich nicht notwendigerweise auf die Eigenschaften der vollständigen Entität.","'Jeder Spieler in diesem Basketballteam ist ein Superstar. Daher muss das Team selbst das beste in der Liga sein.' Dies ignoriert, dass ein Team von Superstars möglicherweise keine gute Chemie hat.","relevanz"
29,"Trugschluss der Teilung","Die Umkehrung des Trugschlusses der Zusammensetzung, dies ist der Fehler anzunehmen, dass das, was für das Ganze wahr ist, auch für seine Teile wahr ist.","'Unser Unternehmen ist sehr profitabel. Daher muss jeder einzelne Mitarbeiter in unserem Unternehmen profitabel sein.' Dies ignoriert, dass Erfolg ein kollektives Ergebnis ist.","relevanz"
30,"Trugschluss der einzigen Ursache (Kausale Übervereinfachung)","Dieser Trugschluss tritt auf, wenn angenommen wird, dass es eine einzige, einfache Ursache für ein Ergebnis gibt, obwohl es in Wirklichkeit durch eine Reihe von nur gemeinsam hinreichenden Ursachen verursacht worden sein kann.","'Die Schulschießerei geschah wegen gewalttätiger Videospiele.' Dies vereinfacht ein komplexes Ereignis übermäßig und ignoriert andere potenzielle beitragende Faktoren.","relevanz"
31,"Absichtlichkeits-Trugschluss","Dies ist die Voreingenommenheit anzunehmen, dass die Ergebnisse der Handlungen einer Person das waren, was sie beabsichtigte. Es beinhaltet oft, böswillige Absicht Unfällen oder unbeabsichtigten Konsequenzen zuzuschreiben.","'Mein Kollege hat nicht auf meine wichtige E-Mail geantwortet, also muss er mich absichtlich ignorieren.' Dies setzt ein böswilliges Motiv voraus, während er die E-Mail einfach übersehen haben könnte.","relevanz"
32,"Aufbauschen von Konflikten","Dieser Trugschluss tritt auf, wenn jemand eine geringfügige oder interne Meinungsverschiedenheit unter Experten in einem Bereich übertreibt, um den Konsens des Bereichs vollständig abzutun.","'Wissenschaftler sind sich über die genaue Rate des Klimawandels uneinig, also ist das ganze Konzept der globalen Erwärmung wahrscheinlich nicht wahr.' Dies ignoriert den überwältigenden Konsens, dass sie stattfindet.","relevanz"
33,"Ludischer Trugschluss","Dies ist der Missbrauch von Spielen und statistischen Zufallsmodellen, um komplexe, reale Situationen darzustellen, wobei die Auswirkungen unbekannter 'schwarzer Schwan'-Ereignisse ignoriert werden.","'Basierend auf meinen Finanzmodellen hat der Markt eine 0,1%ige Chance auf einen Absturz, also sind meine Investitionen absolut sicher.' Dies behandelt die Wirtschaft wie ein Casinospiel mit bekannten Quoten.","relevanz"
34,"Verschieben der Torpfosten","Dieser Trugschluss tritt auf, wenn die Kriterien für den Beweis oder die Annahme eines Arguments geändert werden, nachdem die ursprünglichen Kriterien erfüllt wurden. Es ist eine unfaire Taktik, um einen Punkt nicht zuzugeben.","'Person A: 'Beweisen Sie, dass Ihre Politik die Kosten senkt.' Person B liefert einen Bericht, der Kostensenkungen zeigt. Person A antwortet: 'Okay, aber jetzt beweisen Sie, dass es die Mitarbeitermoral nicht beeinträchtigt.''","relevanz"
35,"Ergebnis-Voreingenommenheit","Dies ist der Fehler, die Qualität einer Entscheidung anhand ihres Ergebnisses zu bewerten, anstatt anhand der Qualität des Entscheidungsprozesses zum Zeitpunkt der Entscheidung.","'Ein Chirurg führt eine risikoreiche Operation perfekt durch, aber der Patient stirbt an einer seltenen Komplikation. Den Chirurgen als inkompetent zu beurteilen, ist eine Ergebnis-Voreingenommenheit.'","relevanz"
36,"Dammbruch-Argument (Slippery Slope)","Dieser Trugschluss behauptet, dass ein relativ kleiner erster Schritt unweigerlich zu einer Kette von verwandten Ereignissen führen wird, die in einem signifikanten negativen Effekt gipfeln, ohne ausreichende Beweise für die Unvermeidlichkeit.","'Wenn wir der Stadt erlauben, Plastikstrohhalme zu verbieten, werden sie als nächstes alle Plastiktüten verbieten, und schließlich können wir nichts mehr in Plastik kaufen!'","relevanz"
37,"Texas-Scharfschützen-Trugschluss","Dieser Trugschluss wird begangen, wenn Unterschiede in den Daten ignoriert, aber Ähnlichkeiten betont werden. Es geht darum, Datencluster auszuwählen, die zu einem Argument passen.","'Ein Limonadenhersteller weist darauf hin, dass in den fünf Bundesstaaten mit den höchsten Verkaufszahlen drei auch zu den zehn gesündesten Bundesstaaten gehören. Sie schlussfolgern, dass ihre Limonade Teil eines gesunden Lebensstils ist.'","relevanz"
38,"Appell an die Wahrscheinlichkeit","Dies ist ein Trugschluss, bei dem angenommen wird, dass, weil etwas passieren könnte, es unweigerlich passieren wird. Dies verwechselt Möglichkeit mit Gewissheit.","'Es gibt so viele Autos auf der Straße, es ist unvermeidlich, dass ich eines Tages einen schweren Unfall haben werde, also kann ich auch rücksichtslos fahren.'","relevanz"
39,"Falsche Richtung (Kausale Umkehrung)","Dieser Trugschluss tritt auf, wenn Ursache und Wirkung vertauscht werden. Der Argumentierende behauptet, dass X Y verursacht, obwohl in Wirklichkeit Y X verursacht.","'Beobachtet man, dass sehr kranke Menschen oft in Krankenhäusern sind, schließt jemand daraus, dass Krankenhäuser krank machen. In Wirklichkeit gehen die Menschen ins Krankenhaus, weil sie bereits krank sind.'","kausal"
40,"Korrelation impliziert Kausalität (Cum Hoc Ergo Propter Hoc)","Dieser Trugschluss ist der Fehler zu schlussfolgern, dass, weil zwei Ereignisse zusammen auftreten, das eine die Ursache des anderen sein muss. Er übersieht die Möglichkeit eines dritten Faktors, der beide verursacht.","'Wenn die Eisverkäufe steigen, steigt auch die Zahl der Haiangriffe. Daher verursacht der Kauf von Eis Haiangriffe.' In Wirklichkeit ist heißes Wetter die Ursache für beides.","kausal"
41,"Post Hoc Ergo Propter Hoc","Wörtlich 'danach, also deswegen', tritt dieser Trugschluss auf, wenn angenommen wird, dass, weil ein Ereignis auf ein anderes folgte, das erste Ereignis das zweite verursacht haben muss.","'Ich trug mein Glückstrikot und mein Team gewann das Spiel. Daher hat mein Trikot das Team zum Sieg geführt.' Die zeitliche Abfolge von Ereignissen reicht nicht aus, um eine Kausalität herzustellen.","kausal"
42,"Regressions-Trugschluss","Dieser Trugschluss berücksichtigt keine natürlichen Schwankungen und die Regression zum Mittelwert. Er schreibt eine Rückkehr zur Normalität einer Handlung zu, die ergriffen wurde, als ein Ergebnis außergewöhnlich war.","'Ein Patient mit extremen Rückenschmerzen probiert ein neues Mittel und fühlt sich eine Woche später viel besser. Er schreibt die Genesung dem Mittel zu, aber es ist wahrscheinlich, dass der extreme Schmerz auf natürliche Weise zu einem weniger schmerzhaften Durchschnittszustand zurückging.'","kausal"
43,"Dritte-Ursache-Trugschluss","Eine Variante des Trugschlusses 'Korrelation impliziert Kausalität', dieser Fehler tritt auf, wenn ein dritter, nicht anerkannter Faktor (eine Störvariable) die Ursache für zwei korrelierte Ereignisse ist.","'Die Anzahl der Störche in einer Region korreliert mit der menschlichen Geburtenrate. Daher bringen Störche die Babys.' Die dritte Ursache ist die Größe der Region; größere Regionen haben mehr Störche und mehr Menschen.","kausal"
44,"Spieler-Trugschluss","Der irrige Glaube, dass, wenn ein bestimmtes zufälliges Ereignis in der Vergangenheit häufiger als normal auftritt, es in der Zukunft weniger wahrscheinlich ist (oder umgekehrt).","'An einem Rouletterad glaubt ein Spieler nach zehn roten Zahlen, dass eine schwarze Zahl 'fällig' ist. In Wirklichkeit ist die Wahrscheinlichkeit bei jeder Drehung gleich.'","kausal"
45,"Heisse-Hand-Trugschluss","Die Umkehrung des Spieler-Trugschlusses, dies ist der Glaube, dass eine Person, die bei einem zufälligen Ereignis Erfolg hatte, eine größere Chance auf weiteren Erfolg hat.","'Ein Basketballspieler trifft mehrere Würfe hintereinander, und die Fans glauben, er habe eine 'heiße Hand' und treffe eher seinen nächsten Wurf. Statistisch gesehen ist jeder Wurf ein unabhängiges Ereignis.'","kausal"
46,"Überlebens-Voreingenommenheit","Ein logischer Fehler, sich auf die Menschen oder Dinge zu konzentrieren, die einen Prozess 'überlebt' haben, und dabei versehentlich diejenigen zu übersehen, die dies aufgrund ihrer mangelnden Sichtbarkeit nicht taten.","'Die Analyse zurückkehrender Bomber im Zweiten Weltkrieg, um zu sehen, wo sie getroffen wurden, und vorschlagen, an diesen Stellen Panzerungen anzubringen. Der Trugschluss besteht darin, die Stellen nicht zu panzern, die *nicht* getroffen wurden, da Flugzeuge, die dort getroffen wurden, wahrscheinlich nicht überlebten.'","kausal"
47,"Magisches Denken","Der Glaube, dass die eigenen Gedanken, Worte oder Handlungen Ereignisse in der physischen Welt auf eine Weise beeinflussen können, die nicht durch die Gesetze der Physik gestützt wird.","'Ein Athlet glaubt, dass das Tragen eines bestimmten Paares 'Glückssocken' der Grund war, warum er eine Meisterschaft gewonnen hat. Dies schreibt einem Objekt kausale Kraft zu, das keinen tatsächlichen Einfluss hat.'","kausal"
48,"Versunkene-Kosten-Trugschluss (Concorde-Trugschluss)","Ein Verhalten oder Unterfangen aufgrund zuvor investierter Ressourcen (Zeit, Geld oder Mühe) fortzusetzen, unabhängig davon, ob die aktuellen Kosten den erwarteten Nutzen überwiegen.","'Wir haben bereits Millionen in die Entwicklung dieses neuen Produkts investiert. Es verkauft sich nicht gut, aber wir können jetzt nicht einfach aufhören; wir müssen die ursprüngliche Investition rechtfertigen.'","kausal"
49,"Assoziations-Trugschluss (Schuld durch Assoziation)","Dieser Trugschluss behauptet, dass die Eigenschaften einer Sache von Natur aus die Eigenschaften einer anderen sind, nur durch eine irrelevante Assoziation.","'Mein politischer Gegner hat einmal eine Wahlkampfspende von einem umstrittenen Unternehmen angenommen. Daher muss mein Gegner die unethischen Praktiken dieses Unternehmens gutheißen.'","kausal"
50,"Ökologischer Trugschluss","Dieser Trugschluss beinhaltet das Ziehen von Schlussfolgerungen über ein Individuum auf der Grundlage von aggregierten Daten für die Gruppe, zu der dieses Individuum gehört. Gruppenstatistiken gelten nicht notwendigerweise für Einzelpersonen.","'Eine Studie zeigt, dass Land X einen sehr hohen nationalen Glückswert hat. Meine Freundin kommt aus Land X, also muss sie eine sehr glückliche Person sein.'","kausal"
51,"Etymologischer Trugschluss","Der Fehler zu argumentieren, dass die historische oder ursprüngliche Bedeutung eines Wortes (seine Etymologie) seine einzig richtige und aktuelle Bedeutung ist und die Entwicklung der Sprache ignoriert.","'Jemand argumentiert, dass das Wort 'schrecklich' (awful) ein positiver Begriff sein sollte, weil es ursprünglich 'voller Ehrfurcht' (full of awe) bedeutete. Dies ignoriert, dass sich seine Bedeutung im Laufe der Jahrhunderte geändert hat.'","kausal"
52,"Historiker-Trugschluss","Dies geschieht, wenn man annimmt, dass Entscheidungsträger der Vergangenheit Ereignisse aus derselben Perspektive betrachteten und dieselben Informationen hatten wie diejenigen, die die Entscheidung nachträglich analysieren.","'Die Generäle im Ersten Weltkrieg hätten wissen müssen, dass der Grabenkrieg zu einem Patt führen würde; es war offensichtlich.' Dies ignoriert die zeitgenössischen Militärtheorien, die ihre Entscheidungen leiteten.","kausal"
53,"McNamara-Trugschluss","Dieser Trugschluss besteht darin, eine Entscheidung ausschließlich auf der Grundlage quantitativer Metriken und Daten zu treffen und dabei qualitative Faktoren und schwer messbare Informationen zu ignorieren.","'Ein Schulbezirk bewertet seine Lehrer nur anhand der Testergebnisse der Schüler. Dies ignoriert andere entscheidende Faktoren wie die Fähigkeit eines Lehrers, Kreativität zu inspirieren.'","kausal"
54,"Nirwana-Trugschluss (Perfekte-Lösung-Trugschluss)","Der Fehler, jede realistische Lösung abzulehnen, weil sie ein Problem nicht vollständig löst. Er vergleicht einen praktischen Vorschlag mit einer unrealistischen, idealisierten 'perfekten' Alternative.","'Warum sollten wir dieses neue Recyclingprogramm umsetzen? Es wird nicht den gesamten Abfall beseitigen, also lohnt es sich nicht.' Dies lehnt einen positiven Schritt ab, weil er keine perfekte Lösung ist.","kausal"
55,"Zerbrochenes-Fenster-Trugschluss","Ein wirtschaftlicher Trugschluss, der argumentiert, dass ein zerstörerisches Ereignis gut für die Wirtschaft ist, weil es die Ausgaben für Reparaturen ankurbelt. Er ignoriert die unsichtbaren Kosten – das Geld hätte für etwas Neues ausgegeben werden können.","'Der Hurrikan war ein Segen im Unglück, weil er so viele Bauarbeitsplätze geschaffen hat, um die Stadt wieder aufzubauen.' Dies übersieht, dass die Ressourcen für den Wiederaufbau für neuen Fortschritt hätten verwendet werden können.","kausal"
56,"Appell an den Zufall","Dieser Trugschluss tritt auf, wenn ein Argumentierender starke Beweise für einen kausalen Zusammenhang abtut, indem er behauptet, die Korrelation sei nur ein Zufall, oft ohne Beweise für den Zufall selbst zu liefern.","'Es ist nur ein Zufall, dass jedes Mal, wenn unser CEO seine Aktien verkauft, das Unternehmen eine Woche später schlechte Nachrichten bekannt gibt.' Dies tut ein verdächtiges Muster ab, das wahrscheinlich auf Insiderhandel hindeutet.","kausal"
57,"Verfügbarkeitsheuristik (als Trugschluss)","Eine mentale Abkürzung, die sich auf unmittelbare Beispiele stützt, die einem in den Sinn kommen. Dies wird zu einem Trugschluss, wenn diese lebhaften Beispiele verwendet werden, um die Wahrscheinlichkeit zu beurteilen und ein Argument aufzubauen.","'Nachdem eine Person mehrere Nachrichtenberichte über Haiangriffe gesehen hat, argumentiert sie, dass die Strände geschlossen werden sollten, und übertreibt das Risiko aufgrund lebhafter, aber statistisch seltener Ereignisse.'","kausal"
58,"Bestätigungsfehler (als Trugschluss)","Die Tendenz, ein Argument aufzubauen, indem man nur Informationen sucht, interpretiert und erinnert, die die eigenen bereits bestehenden Überzeugungen bestätigen, während man widersprüchliche Beweise ignoriert.","'Eine Person, die glaubt, eine Diät sei gesund, wird nur nach Erfahrungsberichten und Artikeln suchen, die sie unterstützen, und diese kuratierten Informationen dann als Beweis für ihre Wirksamkeit präsentieren.'","kausal"
59,"Gerechte-Welt-Trugschluss","Die kognitive Voreingenommenheit, dass die Handlungen einer Person dazu neigen, moralisch faire Konsequenzen nach sich zu ziehen. Es wird zu einem Trugschluss, wenn argumentiert wird, dass Opfer von Unglück es verdient haben müssen.","'Sie wurde ausgeraubt, weil sie ihren teuren Schmuck in einer schlechten Gegend zur Schau stellte; sie hat darum gebeten.' Dies gibt dem Opfer die Schuld für das Verbrechen.","kausal"
