id,name,definition,example,category
11,"Moralistic Fallacy","This fallacy moves from a statement about how things *ought* to be to a factual claim about how things *are*. It assumes the world will adapt to our moral beliefs, which is a form of wishful thinking.","Everyone should be treated equally, therefore there are no innate genetic differences in abilities between people. The moral imperative for equal treatment does not logically entail a factual conclusion about biological uniformity.","relevance"
12,"Naturalistic Fallacy (Is-Ought Fallacy)","This occurs when someone argues from a statement of fact (what 'is') to a statement of value (what 'ought' to be). It assumes that the way things are is the way they should be.","Because animals in nature eat meat, it is morally acceptable for humans to eat meat. This argument takes a descriptive fact about the natural world and tries to derive a moral prescription from it.","relevance"
13,"Red Herring","This is a tactic of distraction. An arguer commits a red herring fallacy by introducing an irrelevant topic into a discussion to divert attention from the original issue.","When asked about his voting record on environmental protection, a senator responds, 'I'm much more concerned about the threat of terrorism.' This avoids the question by introducing a different issue.","relevance"
14,"Straw Man","This fallacy occurs when someone distorts, misrepresents, or exaggerates an opponent's position to make it easier to attack. Instead of refuting the actual argument, they knock down a weaker, manufactured version.","Person A: 'I think we should increase funding for public schools.' Person B: 'So you're saying we should just throw unlimited money at a broken system and ignore our national debt? That's irresponsible!'","relevance"
15,"Appeal to Emotion","This is a broad category of fallacies that involves manipulating an audience's emotions—such as fear, pity, or joy—in order to win an argument, especially in the absence of factual evidence.","A commercial for a charity shows sad pictures of starving children with moving music, urging viewers to donate. The ad primarily appeals to pity rather than presenting a logical case.","relevance"
16,"Appeal to Fear (Argumentum ad Baculum)","A specific type of appeal to emotion where an arguer attempts to create support for an idea by instilling fear of an alternative. It relies on scare tactics instead of evidence.","If we don't pass this surveillance bill, a major terrorist attack on our soil is inevitable. This argument uses fear, not evidence of the bill's effectiveness.","relevance"
17,"Appeal to Flattery","This fallacy involves using flattery and compliments to persuade an audience to accept a conclusion, rather than providing evidence. The appeal is to the listener's vanity, not their intellect.","A person of your refined taste can surely see the superior quality of this expensive artwork. The compliment is intended to make the potential buyer more agreeable.","relevance"
18,"Appeal to Pity (Argumentum ad Misericordiam)","This fallacy attempts to win support for an argument or idea by exploiting the opponent's feelings of pity or guilt. The emotional appeal is used as a substitute for a reasoned argument.","Professor, I know I failed the exam, but I've had a really tough semester. If I don't pass this class, I'll lose my scholarship. You have to give me a passing grade.","relevance"
19,"Appeal to Ridicule","This fallacy involves presenting an opponent's argument as absurd, ridiculous, or humorous, and therefore not worthy of serious consideration. Mockery is used in place of actual counter-argumentation.","You actually believe in the theory of evolution? So you think your grandfather was a monkey? That's hilarious! This caricature is meant to mock the position rather than engage with the evidence.","relevance"
20,"Appeal to Spite","This fallacy attempts to sway an audience by exploiting their existing feelings of bitterness, spite, or resentment towards the opposing side. The argument is based on animosity rather than logic.","Why would you support a policy proposed by that party? Remember how they blocked the bill we all wanted last year? Let's vote against this just to pay them back.","relevance"
21,"Wishful Thinking","This fallacy occurs when a person concludes that a proposition must be true because they want it to be true. The desire for something to be true is used as evidence for its truthfulness.","I'm sure I'll get the job because it would be perfect for me and I really need it. The speaker's desire has no bearing on the employer's decision.","relevance"
22,"Appeal to Novelty (Argumentum ad Novitatem)","This fallacy claims that an idea or proposal is correct or superior solely because it is new and modern. Novelty is not evidence of quality or truth.","Our company needs to switch to this new management software. It's the latest version, so it must be much more efficient than our old system.","relevance"
23,"Argument from Incredulity","This fallacy asserts that a proposition must be false because it contradicts one's personal expectations or beliefs, or because it is difficult to imagine. A person's inability to comprehend something does not make it untrue.","I find it impossible to believe that the vastness of the universe could have emerged from a single point in the Big Bang. Therefore, the theory must be wrong.","relevance"
24,"Appeal to Ignorance (Argumentum ad Ignorantiam)","This fallacy asserts that a proposition is true because there is no evidence to prove it false, or that it is false because there is no evidence to prove it true. A lack of evidence is not evidence.","No one has ever been able to prove that ghosts don't exist, so it is reasonable to believe that they do. The burden of proof lies with the person making the claim.","relevance"
25,"Appeal to Self-Evident Truth","This fallacy involves presenting a claim as 'self-evident' or 'obvious' and therefore needing no supporting evidence. This tactic attempts to shut down debate.","It's self-evident that raising taxes on corporations hurts the economy. This is presented as an undeniable fact, but it is a complex economic claim that requires evidence.","relevance"
26,"Appeal to Stone (Argumentum ad Lapidem)","This fallacy consists of dismissing a statement as absurd without giving any proof of its absurdity. It is a refusal to engage with the argument itself.","Person A lays out a detailed argument for a policy change. Person B responds by simply saying, 'That is the most absurd proposition I have ever heard,' and offers no counter-argument.","relevance"
27,"Burden of Proof Fallacy","This fallacy occurs when someone makes a claim but puts the burden of proof on the other party to disprove it, rather than providing evidence for their own claim. He who asserts must prove.","I claim that a teapot is orbiting the sun between Earth and Mars. Since you cannot prove that it isn't there, you must accept my claim as true.","relevance"
28,"Fallacy of Composition","This is the error of assuming that what is true of a part is also true of the whole. The properties of the parts do not necessarily transfer to the properties of the complete entity.","Every player on this basketball team is a superstar. Therefore, the team itself must be the best in the league. This ignores that a team of superstars may not have good chemistry.","relevance"
29,"Fallacy of Division","The inverse of the fallacy of composition, this is the error of assuming that what is true of the whole is also true of its parts.","Our company is very profitable. Therefore, every single employee in our company must be profitable. This ignores that success is a collective outcome.","relevance"
30,"Fallacy of the Single Cause (Causal Oversimplification)","This fallacy occurs when it is assumed that there is a single, simple cause for an outcome when in reality it may have been caused by a number of jointly sufficient causes.","The school shooting happened because of violent video games. This oversimplifies a complex event, ignoring other potential contributing factors.","relevance"
31,"Intentionality Fallacy","This is the bias of assuming that the outcomes of a person's actions were what they intended. It often involves attributing malicious intent to accidents or unintended consequences.","My colleague didn't reply to my important email, so he must be intentionally ignoring me. This assumes a malicious motive, whereas he might have simply missed the email.","relevance"
32,"Inflation of Conflict","This fallacy occurs when someone exaggerates a minor or internal disagreement among experts in a field to dismiss the field's consensus entirely.","Scientists disagree about the exact rate of climate change, so the whole concept of global warming is probably not true. This ignores the overwhelming consensus that it is happening.","relevance"
33,"Ludic Fallacy","This is the misuse of games and statistical models of chance to represent complex, real-world situations, ignoring the impact of unknown 'black swan' events.","Based on my financial models, the market has a 0.1% chance of crashing, so my investments are perfectly safe. This treats the economy like a casino game with known odds.","relevance"
34,"Moving the Goalposts","This fallacy occurs when the criteria for proof or acceptance of an argument are changed after the initial criteria have been met. It is an unfair tactic to avoid conceding a point.","Person A: 'Prove your policy will reduce costs.' Person B provides a report showing cost reductions. Person A replies, 'Okay, but now prove it won't hurt employee morale.'","relevance"
35,"Outcome Bias","This is the error of evaluating the quality of a decision based on its outcome rather than on the quality of the decision-making process at the time it was made.","A surgeon performs a high-risk operation perfectly, but the patient dies from a rare complication. Judging the surgeon as incompetent is an outcome bias.","relevance"
36,"Slippery Slope","This fallacy asserts that a relatively small first step will inevitably lead to a chain of related events culminating in some significant negative effect, without sufficient evidence for the inevitability.","If we allow the city to ban plastic straws, the next thing you know, they'll be banning all plastic bags, and eventually we won't be able to buy anything in plastic!","relevance"
37,"Texas Sharpshooter Fallacy","This fallacy is committed when differences in data are ignored, but similarities are stressed. It involves cherry-picking data clusters to suit an argument.","A soda company points out that in the five states where their sales are highest, three are also in the top ten healthiest states. They conclude their soda is part of a healthy lifestyle.","relevance"
38,"Appeal to Probability","This is a fallacy of assuming that because something could happen, it will inevitably happen. This confuses possibility with certainty.","There are so many cars on the road, it's inevitable that I will get into a major accident someday, so I might as well drive recklessly.","relevance"
39,"Wrong Direction (Causal Reversal)","This fallacy occurs when cause and effect are reversed. The arguer claims that X causes Y, when in fact it is Y that causes X.","Observing that people who are very ill are often in hospitals, someone concludes that hospitals make people ill. In reality, people go to hospitals because they are already ill.","causal"
40,"Correlation Implies Causation (Cum Hoc Ergo Propter Hoc)","This fallacy is the error of concluding that because two events occur together, one must be the cause of the other. It overlooks the possibility of a third factor causing both.","As ice cream sales increase, so do the number of shark attacks. Therefore, buying ice cream causes shark attacks. In reality, hot weather is the cause of both.","causal"
41,"Post Hoc Ergo Propter Hoc","Literally 'after this, therefore because of this,' this fallacy occurs when it is assumed that because one event followed another, the first event must have caused the second.","I wore my lucky jersey and my team won the game. Therefore, my jersey caused the team to win. The temporal succession of events is not sufficient to establish causality.","causal"
42,"Regression Fallacy","This fallacy fails to account for natural fluctuations and regression to the mean. It attributes a return to normal to an action taken when an outcome was exceptional.","A patient with extreme back pain tries a new remedy and feels better a week later. They attribute recovery to the remedy, but it's likely the extreme pain naturally regressed to a less painful average state.","causal"
43,"Third-Cause Fallacy","A variation of the 'correlation implies causation' fallacy, this error occurs when a third, unacknowledged factor (a confounding variable) is the cause of two correlated events.","The number of storks in a region correlates with the human birth rate. Therefore, storks deliver babies. The third cause is the size of the region; larger regions have more storks and more people.","causal"
44,"Gambler's Fallacy","The mistaken belief that if a particular random event occurs more frequently than normal in the past, it is less likely to happen in the future (or vice versa).","At a roulette wheel, after ten red numbers, a gambler believes a black number is 'due'. In reality, the probability is the same on every spin.","causal"
45,"Hot Hand Fallacy","The inverse of the Gambler's Fallacy, this is the belief that a person who has experienced success with a random event has a greater chance of further success.","A basketball player makes several shots in a row, and fans believe they have a 'hot hand' and are more likely to make their next shot. Statistically, each shot is an independent event.","causal"
46,"Survivorship Bias","A logical error of concentrating on the people or things that 'survived' some process and inadvertently overlooking those that did not because of their lack of visibility.","Analyzing returning bombers in WWII to see where they were hit, suggesting armor be added to those areas. The fallacy is not armoring the areas that were *not* hit, as planes hit there likely didn't survive to return.","causal"
47,"Magic Thinking","The belief that one's thoughts, words, or actions can influence events in the physical world in a way not supported by the laws of physics.","An athlete believes that wearing a specific pair of 'lucky' socks was the reason they won a championship. This attributes causal power to an object with no actual influence.","causal"
48,"Sunk Cost Fallacy (Concorde Fallacy)","Continuing a behavior or endeavor as a result of previously invested resources (time, money, or effort), whether or not the current costs outweigh the expected benefits.","We've already spent millions developing this new product. It's not selling well, but we can't just stop now; we have to justify the initial investment.","causal"
49,"Association Fallacy (Guilt by Association)","This fallacy asserts that qualities of one thing are inherently qualities of another, merely by an irrelevant association.","My political opponent once accepted a campaign donation from a controversial corporation. Therefore, my opponent must endorse that corporation's unethical practices.","causal"
50,"Ecological Fallacy","This fallacy involves making inferences about an individual based on aggregate data for the group to which that individual belongs. Group-level statistics do not necessarily apply to individuals.","A study shows that Country X has a very high national happiness score. My friend is from Country X, so she must be a very happy person.","causal"
51,"Etymological Fallacy","The error of arguing that the historical or original meaning of a word (its etymology) is its only correct and current meaning, ignoring the evolution of language.","Someone argues that the word 'awful' should be a positive term because it originally meant 'full of awe.' This ignores that its meaning has shifted over centuries.","causal"
52,"Historian's Fallacy","This occurs when one assumes that decision-makers of the past viewed events from the same perspective and had the same information as those subsequently analyzing the decision.","The generals in World War I should have known that trench warfare would lead to a stalemate; it was obvious. This ignores the contemporary military theories that guided their decisions.","causal"
53,"McNamara Fallacy","This fallacy involves making a decision based solely on quantitative metrics and data, while ignoring qualitative factors and information that is difficult to measure.","A school district evaluates its teachers based only on student test scores. This ignores other crucial factors like a teacher's ability to inspire creativity and provide emotional support.","causal"
54,"Nirvana Fallacy (Perfect Solution Fallacy)","The error of rejecting any realistic solution because it does not solve a problem completely. It compares a practical proposal to an unrealistic, idealized 'perfect' alternative.","Why should we implement this new recycling program? It won't eliminate all waste, so it's not worth doing. This rejects a positive step because it is not a perfect solution.","causal"
55,"Broken Window Fallacy","An economic fallacy that argues a destructive event is good for the economy because it stimulates spending on repairs. It ignores the unseen costs—the money could have been spent on something new.","The hurricane was a blessing in disguise because it created so many construction jobs to rebuild the city. This overlooks that the resources could have been used for new progress.","causal"
56,"Appeal to Coincidence","This fallacy occurs when an arguer dismisses strong evidence of a causal link by claiming the correlation is merely a coincidence, often without providing evidence for the coincidence itself.","It's just a coincidence that every time our CEO sells his stock, the company announces bad news a week later. This dismisses a suspicious pattern that likely points to insider trading.","causal"
57,"Availability Heuristic (as a fallacy)","A mental shortcut that relies on immediate examples that come to mind. This becomes a fallacy when these vivid examples are used to judge probability and build an argument.","After seeing several news reports about shark attacks, a person argues that beaches should be closed, overstating the risk based on vivid but statistically rare events.","causal"
58,"Confirmation Bias (as a fallacy)","The tendency to build an argument by searching for, interpreting, and recalling only information that confirms one's preexisting beliefs, while ignoring contradictory evidence.","A person who believes a diet is healthy will only seek out testimonials and articles that support it, then present this curated information as proof of its effectiveness.","causal"
59,"Just-World Fallacy","The cognitive bias that a person's actions are inclined to bring morally fair consequences. It becomes a fallacy when used to argue that victims of misfortune must have deserved it.","She was robbed because she was flaunting her expensive jewelry in a bad neighborhood; she was asking for it. This blames the victim for the crime.","causal"
60,"Spotlight Fallacy","The tendency to assume that the media's coverage of a group is representative of the group as a whole. It is a fallacy of generalization based on the most visible members.","Seeing news reports that focus exclusively on violent protests, a person concludes that all people who support that cause are violent, even if the vast majority are peaceful.","causal"
61,"False Dilemma (False Dichotomy)","This fallacy presents a situation as having only two alternatives, when in fact other alternatives exist or can exist. It artificially limits choices to force a decision.","You are either with us, or you are with the terrorists. This presents only two options, ignoring the possibility of neutrality or opposition to both sides.","conditional"
62,"Continuum Fallacy (Fallacy of the Heap)","This fallacy rejects a claim because it is not possible to draw a precise line between two states. It exploits the ambiguity of vague terms.","You can't say for certain when a collection of sand becomes a heap. Therefore, heaps do not exist. The inability to define a precise threshold does not negate the concept.","conditional"
63,"Begging the Question (Circular Reasoning)","An argument where the conclusion is assumed in one of the premises. It's a form of circular reasoning that provides no real evidence, as it argues that a statement is true because it is true.","The Bible is the word of God because it says so in the Bible, and God would not lie. The premise (the Bible is true) is also the conclusion.","conditional"
64,"Hasty Generalization","This fallacy involves drawing a broad conclusion based on a small or unrepresentative sample size. The conclusion is a leap that is not justified by the evidence.","I met two people from New York and they were both rude. Therefore, everyone from New York is rude. This conclusion is based on an anecdotal sample of two.","conditional"
65,"No True Scotsman","A way of reinterpreting evidence in order to prevent the refutation of one's position. An arguer modifies their claim in response to a counterexample, by excluding the specific case without justification.","Person A: 'No Scotsman puts sugar on his porridge.' Person B: 'But my uncle Angus is a Scotsman and he does.' Person A: 'Ah, but no *true* Scotsman puts sugar on his porridge.'","conditional"
66,"Equivocation","The misleading use of a term with more than one meaning or sense. It often occurs in syllogisms, where a key term shifts meaning.","The sign said 'Fine for parking here', and since it was fine, I parked there. This equivocates on the word 'fine,' which can mean 'acceptable' or 'a monetary penalty.'","conditional"
67,"Amphiboly","A fallacy of ambiguity where the ambiguity lies not in a word or phrase but in the grammatical structure of a sentence. The sentence can be interpreted in more than one way.","The oracle told Croesus that if he went to war with Persia, he would destroy a mighty empire. Croesus went to war and destroyed his own mighty empire. The statement was ambiguous.","conditional"
68,"Cherry Picking (Suppressed Evidence)","The act of pointing to individual cases or data that seem to confirm a particular position, while ignoring a significant portion of related cases or data that may contradict that position.","A politician highlights a single city where their new economic policy has been successful, while deliberately not mentioning the ten other cities where the same policy has failed.","conditional"
69,"Special Pleading","This fallacy occurs when someone applies standards or rules to other people, while making oneself or one's own circumstances exempt from the same rules without adequate justification.","Yes, I believe in freedom of speech for everyone, but my opponent's views are so dangerous they should not be allowed on this campus. This creates a special exception.","conditional"
70,"False Equivalence","An argument or comparison that describes a situation in which there is a logical and apparent equivalence, when in fact there is none. It often compares a minor misdeed with a major atrocity.","The person who illegally downloaded a movie is just as bad as the CEO who embezzled millions. They are both thieves. This falsely equates two actions of vastly different scales.","conditional"
71,"Argument to Moderation (False Compromise)","The fallacy that the truth is always in the middle of two opposites. While compromise can be useful, it does not guarantee a logically sound conclusion.","One person says the sky is blue, and another says the sky is yellow. Therefore, the truth must be that the sky is green. This is fallacious because one of the positions is factually correct.","conditional"
72,"Reification (Hypostatization)","This is a fallacy of ambiguity, where an abstraction (an abstract belief or hypothetical construct) is treated as if it were a concrete, real event or physical entity.","Justice demands that we punish the guilty. Here, 'justice' is spoken of as a concrete agent that can make demands, when it is actually an abstract concept.","conditional"
73,"Psychologist's Fallacy","This occurs when an observer assumes that their subjective interpretation of an event is the same as the subjective experience of the person involved in the event.","A therapist, seeing a client smile when discussing trauma, concludes, 'He must be finding joy in his past suffering.' The therapist is projecting a standard interpretation of a smile.","conditional"
74,"Argument from Silence","A fallacy where a conclusion is based on the absence of evidence rather than the presence of it. It assumes that if a source did not mention something, it must not have happened.","Herodotus, the great historian, never mentions the pyramids of Giza in his writings about Egypt. Therefore, they must not have been there when he visited.","conditional"
75,"Conjunction Fallacy","The assumption that an outcome that satisfies multiple specific conditions is more probable than an outcome that satisfies a single, more general one.","When asked which is more probable: 'A man will have a heart attack' or 'A man who is over 55, overweight, and smokes will have a heart attack,' many people choose the second option, even though the first group logically includes the second.","conditional"
76,"Base Rate Fallacy (as a fallacy)","This fallacy involves ignoring statistical base rate information and focusing instead on specific, often anecdotal, information to build an argument.","If you see a quiet man who likes poetry, is it more likely he is a classics professor or a truck driver? Arguing for 'professor' ignores the vastly larger number of truck drivers (the base rate).","conditional"
77,"Prosecutor's Fallacy","A fallacy of statistical reasoning where the probability of a random match is assumed to be the probability of the defendant being innocent. It confuses P(Evidence|Innocent) with P(Innocent|Evidence).","There is a one-in-a-million chance that the defendant's DNA would match if they were innocent. Therefore, there is a one-in-a-million chance that they are innocent. This is incorrect.","conditional"
78,"Loaded Question","A question that contains a controversial or unjustified assumption (e.g., a presumption of guilt). Answering such a question directly implies agreement with the assumption.","Have you stopped cheating on your exams? This question presupposes that the person has cheated in the past. Either a 'yes' or 'no' answer is an admission of guilt.","conditional"
79,"Double Bind","A rhetorical device where a person is offered two choices, but both choices lead to the same undesirable outcome for them, effectively trapping them.","A manager tells an employee: 'I need you to be more assertive, but don't question my authority.' The employee is criticized whether they act independently or remain passive.","conditional"
80,"Framing Effect (as a fallacy)","The fallacy of manipulating a conclusion by presenting identical information in different ways.","One group is told a new procedure has a '90% success rate,' while another is told it has a '10% failure rate.' Arguing one is better than the other is a fallacy.","conditional"
81,"Motte-and-Bailey Fallacy","A rhetorical strategy where an arguer conflates two positions: one modest and easy to defend (the 'motte') and one more controversial (the 'bailey'). When challenged on the bailey, they retreat to the motte.","Someone argues for the 'bailey': 'Society should be radically restructured to eliminate all hierarchies.' When challenged, they retreat to the 'motte': 'All I'm saying is, we should be nicer to each other.'","conditional"
82,"False Analogy","This fallacy consists in assuming that because two things are alike in one or more respects, they are necessarily alike in some other, often crucial, respect. The analogy is not strong enough to support the conclusion.","Government, like a business, should be run with an eye toward profit. This is a weak analogy because a government's primary responsibilities are not profit-driven.","conditional"
83,"Appeal to Closure","The argument that a conclusion must be accepted because it provides a sense of finality or closure to a complex or unsettling issue. The need for closure is prioritized over the evidence.","This murder case has gone on for too long; we must convict the current suspect so the family can have closure. The desire for closure is not a valid reason to convict.","conditional"
84,"Circular Claim","A form of begging the question where the premise of an argument is merely a restatement of the conclusion, often in slightly different words.","Our product is the best on the market because no other product is superior to it. The premise ('no other product is superior') is just another way of saying the conclusion.","conditional"
85,"Fallacy of the Excluded Middle","A specific form of a false dilemma where it is assumed that only two extreme, opposing positions are the only options, while ignoring the possibility of moderate views.","If you don't support this new security bill with its invasive surveillance, you must want terrorists to win. This presents only two extremes, excluding any nuanced position.","conditional"
86,"Affirming the Consequent","A formal fallacy of inferring the converse from the original statement. The argument has the invalid form: If P, then Q. Q is true. Therefore, P is true.","If it is raining, then the street is wet. The street is wet. Therefore, it must be raining. This is fallacious because the street could be wet from a street cleaner.","formal"
87,"Denying the Antecedent","A formal fallacy of inferring the inverse from the original statement. The argument has the invalid form: If P, then Q. P is not true. Therefore, Q is not true.","If you have a driver's license, you are over 16. You do not have a driver's license. Therefore, you are not over 16. This is false; a 25-year-old could simply choose not to have a license.","formal"
88,"Fallacy of the Undistributed Middle","A formal fallacy in a categorical syllogism where the middle term (the one that connects the two premises) is not distributed, meaning it doesn't refer to all members of its category.","All dogs are mammals. All cats are mammals. Therefore, all dogs are cats. Here, 'mammals' is the undistributed middle term.","formal"
89,"Argument from Fallacy (Fallacist's Fallacy)","The formal fallacy of analyzing an argument and inferring that, since it contains a fallacy, its conclusion must be false. A fallacious argument can, by coincidence, arrive at a true conclusion.","Person A: 'All cats are animals. Ginger is an animal. Therefore, Ginger is a cat.' Person B: 'You have committed a fallacy. Therefore, Ginger is not a cat.' The conclusion could still be true.","formal"
90,"Existential Fallacy","A formal fallacy where a conclusion that asserts existence is drawn from premises that do not assert existence.","All unicorns have horns. All unicorns are magical. Therefore, some magical creatures have horns. The argument is valid in form, but fallacious because it concludes something exists from premises about a non-existent class.","formal"
91,"Modal Fallacy","A fallacy in modal logic where a statement of possibility or necessity is confused. A common form is confusing 'It is not necessarily true that P' with 'It is necessarily true that not-P.'","The president will necessarily be over 35. John is over 35. Therefore, John is necessarily the president. This confuses a necessary property of the president with making John's presidency a necessity.","formal"
92,"Kettle Logic","Using multiple, inconsistent arguments to defend a single point. The name comes from a story where a man defends returning a damaged kettle by arguing: (1) he never borrowed it, (2) it was already damaged, and (3) it was perfect when he returned it.","A student accused of cheating argues: 'I didn't cheat. Besides, I only looked at my neighbor's paper for one question. And anyway, everyone else was cheating too.'","formal"
93,"Non Sequitur","Latin for 'it does not follow,' this is a general term for a conclusion that does not logically follow from the premises. The connection between the premise and conclusion is missing or nonsensical.","My opponent enjoys classical music, and so did the Roman emperors. He would therefore be a tyrannical leader. There is no logical connection between musical taste and leadership style.","formal"
94,"Affirming a Disjunct","A formal fallacy with the structure: P or Q. P is true. Therefore, Q is not true. This is only a fallacy when the 'or' is inclusive (meaning both P and Q could be true).","The menu says this meal comes with soup or salad. I am having the soup. Therefore, I am not having the salad. (Many restaurants allow you to have both).","formal"
95,"Denying a Conjunct","A formal fallacy with the structure: It is not the case that (P and Q). Not P. Therefore, Q. The error is assuming that one of the conjuncts must be true if the conjunction is false.","A defendant cannot be guilty of both murder and manslaughter. The defendant is not guilty of murder. Therefore, the defendant must be guilty of manslaughter. (The defendant could be innocent of both).","formal"
96,"Fallacy of Exclusive Premises","A formal fallacy in a categorical syllogism where both premises are negative (e.g., 'no X are Y' and 'no Z are X'). No valid conclusion can be drawn from two negative premises.","No fish are mammals. Some dogs are not fish. Therefore, some dogs are not mammals. (The conclusion is false, and the argument structure is invalid).","formal"
97,"Fallacy of Four Terms","A formal fallacy that occurs when a syllogism has four or more terms rather than the required three. This often happens through equivocation.","All rivers have banks. All banks have money. Therefore, all rivers have money. (The word 'bank' is used with two different meanings, creating four distinct terms).","formal"
98,"Illicit Major","A formal fallacy where the major term (the predicate of the conclusion) is distributed in the conclusion but not in the major premise.","All cats are mammals. No dogs are cats. Therefore, no dogs are mammals. ('mammals' is distributed in the conclusion but not in the premise).","formal"
99,"Illicit Minor","A formal fallacy where the minor term (the subject of the conclusion) is distributed in the conclusion but not in the minor premise.","All activists are passionate people. All activists are citizens. Therefore, all citizens are passionate people. ('citizens' is distributed in the conclusion but not in the premise).","formal"
100,"Masked-Man Fallacy (Intensional Fallacy)","This formal fallacy involves an invalid substitution of identicals in a statement about belief or knowledge. One's knowledge about an object is not a property of the object itself.","Premise 1: I know who Bruce Wayne is. Premise 2: I do not know who Batman is. Conclusion: Therefore, Bruce Wayne is not Batman. (The argument fails because 'knowing' is about my mental state).","formal"
101,"Quantifier Shift Fallacy","A formal fallacy where the quantifiers in an argument (such as 'all,' 'some,' or 'none') are swapped in an invalid way.","For every person, there exists a dream they hold dear. Therefore, there exists a dream that every person holds dear. This incorrectly shifts from each person having their own dream to all people sharing one single dream.","formal"
102,"Fallacy of the Stolen Concept","The act of using a concept while ignoring, contradicting, or denying the validity of the more fundamental concepts on which it logically depends.","A person argues, 'I am certain that nothing can be certain.' To be certain of this claim, they must rely on the very concept of certainty that they are simultaneously denying.","formal"
103,"Definist Fallacy","This fallacy involves defining a term in a biased or loaded way to favor one's own position in an argument, effectively making their conclusion true by definition.","In a debate about freedom, someone argues: 'True freedom is not doing what you want, but doing what is morally right.' They then argue their position is morally right, thus making it an act of 'true freedom' by their own definition.","formal"
104,"Vacuous Truth","A statement that is technically true but conveys no useful information because the premise (the 'if' part) is empty or applies to nothing. It is true only because the condition is never met.","The statement 'All of my cars that are made of solid gold are currently parked in my garage' is vacuously true because the speaker owns no cars made of solid gold.","formal"
105,"Appeal to Accomplishment","This fallacy occurs when an arguer bases the supposed validity of their argument on their own or others' accomplishments, which are irrelevant to the argument's substance.","I have built a billion-dollar company from scratch, so you should listen to my advice on foreign policy. The speaker's business success does not grant them expertise in international relations.","relevance"
106,"Argument from Repetition (Ad Nauseam)","This fallacy involves repeating an assertion over and over again in place of better evidence. The repetition can make the claim seem more believable, regardless of its truthfulness.","A political campaign repeatedly airs a commercial with a simple slogan that attacks an opponent. After hearing it dozens of times, voters may start to believe it without seeing any evidence.","relevance"
